START_DATE,END_DATE,LEDGER,COST_ORGANIZATION,ITEM_NUMBER,ITEM_DESCRIPTION,CALENDAR_CODE,PERIOD_CODE,COST_MTHD_CODE,SOURCE_DESC,ORGANIZATION_CODE,REFERENCE,COST_CMPNTCLS_CODE,COST_ANALYSIS_CODE,COST_AMT,TRANS_QTY,AMOUNT,CURRENCY_CODE,PRIMARY_UOM_CODE,SUPPLIER_ORG,TRANS_DATE,PO_NUMBER,RATE,INVOICE_NUM,VENDOR_NAME,VENDOR_SITE_CODE,CUR_ORG,ITEM_TYPE
,,,,05-024,Product 05XXXX,,,,Unit Cost Adjustments,TTD,,MAT,,280828.6217,3031,572319686.27,VND,,,31/01/2024,,,,,,,FG
,,,,06-027,Product 06XXXX,,,,Value Adjustments,TTD,,MAT,,683195.1271,3497,721604237.37,VND,,,31/01/2024,,,,,,,FG
,,,,06-004,Product 06XXXX,,,,Batch Material Cost,TTD,,MAT,,467709.0217,1469,633338882.47,VND,,,31/01/2024,,,,,,,FG
,,,,07-018,Product 07PROU,,,,Batch Material Cost,TTD,,MAT,,131139.8887,3019,191129842.43,VND,,,31/01/2024,,,,,,,FG
,,,,07-023,Product 07PROU,,,,Batch Resource Cost,TTD,,MAT,,146881.0679,4161,145838944.65,VND,,,31/01/2024,,,,,,,FG
,,,,07-001,Product 07XXXX,,,,Batch Material Cost,TTD,,MAT,,635793.8108,3823,790552126.16,VND,,,31/01/2024,,,,,,,FG
,,,,07-009,Product 07XXXX,,,,Batch Resource Cost,TTD,,MAT,,466206.2107,3270,522524892.59,VND,,,31/01/2024,,,,,,,FG
,,,,08-017,Product 08XXXX,,,,Batch Resource Cost,TTD,,MAT,,175596.048,1545,394490282.01,VND,,,31/01/2024,,,,,,,FG
,,,,08-025,Product 08XXXX,,,,Batch Material Cost,TTD,,MAT,,394378.0034,198,565096630.82,VND,,,31/01/2024,,,,,,,FG
,,,,01-029,Product 01XXXX,,,,Value Adjustments,DLD,,MAT,,177824.3139,4167,277818667.62,VND,,,31/01/2024,,,,,,,FG
,,,,01-020,Product 01XXXX,,,,Batch Material Cost,DLD,,MAT,,397648.5499,1627,538089860.76,VND,,,31/01/2024,,,,,,,FG
,,,,02-019,Product 02XXXX,,,,Batch Material Cost,DLD,,MAT,,577892.2181,4665,554341437.37,VND,,,31/01/2024,,,,,,,FG
,,,,02-013,Product 02XXXX,,,,Batch Resource Cost,DLD,,MAT,,93632.5602,662,229785346.05,VND,,,31/01/2024,,,,,,,FG
,,,,03-001,Product 03XXXX,,,,Batch Resource Cost,DLD,,MAT,,363119.1894,4648,646619632.12,VND,,,31/01/2024,,,,,,,FG
,,,,03-017,Product 03XXXX,,,,Batch Material Cost,DLD,,MAT,,125583.4908,116,222585075.66,VND,,,31/01/2024,,,,,,,FG
,,,,04-005,Product 04XXXX,,,,Value Adjustments,DLD,,MAT,,139800.9704,2427,289544853.67,VND,,,31/01/2024,,,,,,,FG
,,,,04-028,Product 04XXXX,,,,Batch Material Cost,DLD,,MAT,,170783.117,1239,302780909.5,VND,,,31/01/2024,,,,,,,FG
,,,,05-022,Product 05XXXX,,,,Batch Material Cost,DLD,,MAT,,148386.5122,669,259166265.24,VND,,,31/01/2024,,,,,,,FG
,,,,05-015,Product 05XXXX,,,,Unit Cost Adjustments,DLD,,MAT,,563710.4733,3001,651176816.26,VND,,,31/01/2024,,,,,,,FG
,,,,06-022,Product 06XXXX,,,,Batch Material Cost,DLD,,MAT,,312371.5167,2906,322447454.59,VND,,,31/01/2024,,,,,,,FG
,,,,06-028,Product 06XXXX,,,,Batch Resource Cost,DLD,,MAT,,183821.0643,3050,338152323.44,VND,,,31/01/2024,,,,,,,FG
,,,,07-012,Product 07PROU,,,,Batch Material Cost,DLD,,MAT,,264783.4823,1266,570038467.96,VND,,,31/01/2024,,,,,,,FG
,,,,07-022,Product 07PROU,,,,Batch Resource Cost,DLD,,MAT,,163361.447,4246,291285914.66,VND,,,31/01/2024,,,,,,,FG
,,,,07-006,Product 07XXXX,,,,Batch Material Cost,DLD,,MAT,,490645.3941,3954,423668333.84,VND,,,31/01/2024,,,,,,,FG
,,,,07-021,Product 07XXXX,,,,Batch Resource Cost,DLD,,MAT,,168457.4665,3151,284324793.29,VND,,,31/01/2024,,,,,,,FG
,,,,08-003,Product 08XXXX,,,,Unit Cost Adjustments,DLD,,MAT,,412880.038,4464,619031717.47,VND,,,31/01/2024,,,,,,,FG
,,,,08-024,Product 08XXXX,,,,Batch Material Cost,DLD,,MAT,,950989.3565,930,827184596.52,VND,,,31/01/2024,,,,,,,FG
,,,,01-009,Product 01XXXX,,,,Batch Material Cost,SGD,,MAT,,229969.8352,2031,215593050.92,VND,,,31/01/2024,,,,,,,FG
,,,,01-002,Product 01XXXX,,,,Batch Resource Cost,SGD,,MAT,,301847.7538,659,321752491.91,VND,,,31/01/2024,,,,,,,FG
,,,,02-005,Product 02XXXX,,,,Batch Material Cost,SGD,,MAT,,277165.5786,2394,531351153.53,VND,,,31/01/2024,,,,,,,FG
,,,,02-022,Product 02XXXX,,,,Unit Cost Adjustments,SGD,,MAT,,81786.2231,2844,87486637.92,VND,,,31/01/2024,,,,,,,FG
,,,,03-016,Product 03XXXX,,,,Batch Material Cost,SGD,,MAT,,295385.0884,2365,324350981.11,VND,,,31/01/2024,,,,,,,FG
,,,,03-005,Product 03XXXX,,,,Batch Resource Cost,SGD,,MAT,,489546.3174,2170,679841462.63,VND,,,31/01/2024,,,,,,,FG
,,,,04-019,Product 04XXXX,,,,Batch Material Cost,SGD,,MAT,,803519.3673,2589,663721234.52,VND,,,31/01/2024,,,,,,,FG
,,,,04-016,Product 04XXXX,,,,Unit Cost Adjustments,SGD,,MAT,,219494.2276,2939,430809750.9,VND,,,31/01/2024,,,,,,,FG
,,,,05-003,Product 05XXXX,,,,Unit Cost Adjustments,SGD,,MAT,,294646.4647,2527,574910110.61,VND,,,31/01/2024,,,,,,,FG
,,,,05-012,Product 05XXXX,,,,Batch Resource Cost,SGD,,MAT,,72908.7435,4013,160041043.07,VND,,,31/01/2024,,,,,,,FG
,,,,06-023,Product 06XXXX,,,,Batch Material Cost,SGD,,MAT,,154991.6441,2996,286894431.55,VND,,,31/01/2024,,,,,,,FG
,,,,06-002,Product 06XXXX,,,,Batch Resource Cost,SGD,,MAT,,267091.9849,214,523164619.16,VND,,,31/01/2024,,,,,,,FG
,,,,07-021,Product 07PROU,,,,Batch Material Cost,SGD,,MAT,,283362.7055,2908,580786087.91,VND,,,31/01/2024,,,,,,,FG
,,,,07-003,Product 07PROU,,,,Unit Cost Adjustments,SGD,,MAT,,254967.1013,1222,450395427.9,VND,,,31/01/2024,,,,,,,FG
,,,,07-017,Product 07XXXX,,,,Batch Material Cost,SGD,,MAT,,152744.0241,3866,345094829.92,VND,,,31/01/2024,,,,,,,FG
,,,,07-017,Product 07XXXX,,,,Unit Cost Adjustments,SGD,,MAT,,676682.3384,4052,659975441.88,VND,,,31/01/2024,,,,,,,FG
,,,,08-012,Product 08XXXX,,,,Batch Material Cost,SGD,,MAT,,221977.7115,4271,324452135.78,VND,,,31/01/2024,,,,,,,FG
,,,,08-020,Product 08XXXX,,,,Batch Resource Cost,SGD,,MAT,,184315.0492,3677,359508132.28,VND,,,31/01/2024,,,,,,,FG
,,,,01-023,Product 01XXXX,,,,Batch Material Cost,CTD,,MAT,,149994.3908,1267,311843843.35,VND,,,31/01/2024,,,,,,,FG
,,,,01-007,Product 01XXXX,,,,Batch Resource Cost,CTD,,MAT,,343461.5787,3394,563453706.16,VND,,,31/01/2024,,,,,,,FG
,,,,02-009,Product 02XXXX,,,,Batch Material Cost,CTD,,MAT,,199372.682,1053,487806796.82,VND,,,31/01/2024,,,,,,,FG
,,,,02-013,Product 02XXXX,,,,Batch Resource Cost,CTD,,MAT,,479539.5152,1291,452196925.13,VND,,,31/01/2024,,,,,,,FG
,,,,03-019,Product 03XXXX,,,,Batch Material Cost,CTD,,MAT,,536817.829,3819,506876338.93,VND,,,31/01/2024,,,,,,,FG
,,,,03-007,Product 03XXXX,,,,Batch Resource Cost,CTD,,MAT,,145694.0687,4412,317869384.05,VND,,,31/01/2024,,,,,,,FG
,,,,04-010,Product 04XXXX,,,,Batch Material Cost,CTD,,MAT,,198232.935,3702,396196951.08,VND,,,31/01/2024,,,,,,,FG
,,,,04-028,Product 04XXXX,,,,Unit Cost Adjustments,CTD,,MAT,,162459.1459,3809,133102972.58,VND,,,31/01/2024,,,,,,,FG
,,,,05-025,Product 05XXXX,,,,Batch Material Cost,CTD,,MAT,,321778.2495,1314,576538745.62,VND,,,31/01/2024,,,,,,,FG
,,,,05-021,Product 05XXXX,,,,Batch Resource Cost,CTD,,MAT,,210334.5389,233,357196256.97,VND,,,31/01/2024,,,,,,,FG
,,,,06-021,Product 06XXXX,,,,Batch Resource Cost,CTD,,MAT,,506032.7166,4398,442161940.96,VND,,,31/01/2024,,,,,,,FG
,,,,06-025,Product 06XXXX,,,,Value Adjustments,CTD,,MAT,,345348.6664,1356,684549749.83,VND,,,31/01/2024,,,,,,,FG
,,,,07-011,Product 07PROU,,,,Batch Material Cost,CTD,,MAT,,269254.5316,1453,552798724.21,VND,,,31/01/2024,,,,,,,FG
,,,,07-028,Product 07PROU,,,,Value Adjustments,CTD,,MAT,,541158.8134,4568,852117585.77,VND,,,31/01/2024,,,,,,,FG
,,,,07-009,Product 07XXXX,,,,Batch Material Cost,CTD,,MAT,,346425.3782,4935,322920029.24,VND,,,31/01/2024,,,,,,,FG
,,,,07-001,Product 07XXXX,,,,Batch Resource Cost,CTD,,MAT,,488851.0821,2608,836602056.66,VND,,,31/01/2024,,,,,,,FG
,,,,08-015,Product 08XXXX,,,,Batch Material Cost,CTD,,MAT,,372171.9897,2044,756894796.51,VND,,,31/01/2024,,,,,,,FG
,,,,08-013,Product 08XXXX,,,,Value Adjustments,CTD,,MAT,,180827.102,1115,410894981.29,VND,,,31/01/2024,,,,,,,FG
,,,,01-025,Product 01XXXX,,,,Batch Material Cost,BDD,,MAT,,390911.2031,4025,707557962.16,VND,,,31/01/2024,,,,,,,FG
,,,,01-009,Product 01XXXX,,,,Batch Resource Cost,BDD,,MAT,,755308.3007,610,685797361.14,VND,,,31/01/2024,,,,,,,FG
,,,,02-021,Product 02XXXX,,,,Batch Material Cost,BDD,,MAT,,304124.0155,3736,758571247.15,VND,,,31/01/2024,,,,,,,FG
,,,,02-014,Product 02XXXX,,,,Unit Cost Adjustments,BDD,,MAT,,686726.7548,2148,838144354.53,VND,,,31/01/2024,,,,,,,FG
,,,,03-028,Product 03XXXX,,,,Unit Cost Adjustments,BDD,,MAT,,125831.2226,1674,232890692.79,VND,,,31/01/2024,,,,,,,FG
,,,,03-027,Product 03XXXX,,,,Batch Material Cost,BDD,,MAT,,263638.699,4463,557053086.42,VND,,,31/01/2024,,,,,,,FG
,,,,04-015,Product 04XXXX,,,,Batch Resource Cost,BDD,,MAT,,70157.2334,3378,126488231.88,VND,,,31/01/2024,,,,,,,FG
,,,,04-007,Product 04XXXX,,,,Unit Cost Adjustments,BDD,,MAT,,306743.1974,4959,665195915.97,VND,,,31/01/2024,,,,,,,FG
,,,,05-002,Product 05XXXX,,,,Value Adjustments,BDD,,MAT,,561595.8304,1431,536157535.68,VND,,,31/01/2024,,,,,,,FG
,,,,05-023,Product 05XXXX,,,,Batch Material Cost,BDD,,MAT,,193287.9862,3277,453801760.67,VND,,,31/01/2024,,,,,,,FG
,,,,06-028,Product 06XXXX,,,,Batch Resource Cost,BDD,,MAT,,110485.5297,3131,180820363.64,VND,,,31/01/2024,,,,,,,FG
,,,,06-011,Product 06XXXX,,,,Unit Cost Adjustments,BDD,,MAT,,62889.7075,4238,87454602.95,VND,,,31/01/2024,,,,,,,FG
,,,,07-008,Product 07PROU,,,,Batch Material Cost,BDD,,MAT,,126238.7501,999,130784127.0,VND,,,31/01/2024,,,,,,,FG
,,,,07-003,Product 07PROU,,,,Batch Resource Cost,BDD,,MAT,,76479.3418,766,177779311.85,VND,,,31/01/2024,,,,,,,FG
,,,,07-029,Product 07XXXX,,,,Batch Material Cost,BDD,,MAT,,57035.9586,623,72641200.83,VND,,,31/01/2024,,,,,,,FG
,,,,07-013,Product 07XXXX,,,,Batch Resource Cost,BDD,,MAT,,118620.5719,2396,196413053.26,VND,,,31/01/2024,,,,,,,FG
,,,,08-004,Product 08XXXX,,,,Batch Material Cost,BDD,,MAT,,200840.3486,2155,161558294.43,VND,,,31/01/2024,,,,,,,FG
,,,,08-024,Product 08XXXX,,,,Batch Resource Cost,BDD,,MAT,,478719.5963,4921,553349037.09,VND,,,31/01/2024,,,,,,,FG
,,,,01-027,Product 01XXXX,,,,Batch Material Cost,NAD,,MAT,,527733.7597,1746,478116398.52,VND,,,31/01/2024,,,,,,,FG
,,,,01-018,Product 01XXXX,,,,Batch Resource Cost,NAD,,MAT,,862290.8274,2006,734501620.2,VND,,,31/01/2024,,,,,,,FG
,,,,02-026,Product 02XXXX,,,,Batch Material Cost,NAD,,MAT,,53111.7988,225,61581091.86,VND,,,31/01/2024,,,,,,,FG
,,,,02-004,Product 02XXXX,,,,Batch Resource Cost,NAD,,MAT,,86342.5042,166,156202843.5,VND,,,31/01/2024,,,,,,,FG
,,,,03-012,Product 03XXXX,,,,Batch Material Cost,NAD,,MAT,,341134.2177,2572,613055795.39,VND,,,31/01/2024,,,,,,,FG
,,,,03-027,Product 03XXXX,,,,Batch Resource Cost,NAD,,MAT,,185189.4119,2075,339423279.85,VND,,,31/01/2024,,,,,,,FG
,,,,04-016,Product 04XXXX,,,,Batch Material Cost,NAD,,MAT,,35933.3635,2663,51065139.77,VND,,,31/01/2024,,,,,,,FG
,,,,04-024,Product 04XXXX,,,,Value Adjustments,NAD,,MAT,,277902.0313,2970,603039156.36,VND,,,31/01/2024,,,,,,,FG
,,,,05-006,Product 05XXXX,,,,Batch Resource Cost,NAD,,MAT,,27028.3304,567,67444722.82,VND,,,31/01/2024,,,,,,,FG
,,,,05-017,Product 05XXXX,,,,Batch Material Cost,NAD,,MAT,,393926.4228,2651,862313810.98,VND,,,31/01/2024,,,,,,,FG
,,,,06-005,Product 06XXXX,,,,Batch Resource Cost,NAD,,MAT,,201345.3278,1241,448112218.46,VND,,,31/01/2024,,,,,,,FG
,,,,06-012,Product 06XXXX,,,,Batch Material Cost,NAD,,MAT,,258643.7751,4754,530638796.69,VND,,,31/01/2024,,,,,,,FG
,,,,07-003,Product 07PROU,,,,Batch Resource Cost,NAD,,MAT,,360758.3859,3844,485253120.16,VND,,,31/01/2024,,,,,,,FG
,,,,07-010,Product 07PROU,,,,Batch Material Cost,NAD,,MAT,,186097.7139,2319,322437607.52,VND,,,31/01/2024,,,,,,,FG
,,,,07-015,Product 07XXXX,,,,Batch Material Cost,NAD,,MAT,,131338.4668,2138,131126133.06,VND,,,31/01/2024,,,,,,,FG
,,,,07-028,Product 07XXXX,,,,Batch Resource Cost,NAD,,MAT,,253547.9843,335,569528783.06,VND,,,31/01/2024,,,,,,,FG
,,,,08-001,Product 08XXXX,,,,Batch Material Cost,NAD,,MAT,,500453.5904,3491,722999594.06,VND,,,31/01/2024,,,,,,,FG
,,,,08-009,Product 08XXXX,,,,Unit Cost Adjustments,NAD,,MAT,,510947.5501,1352,530165840.89,VND,,,31/01/2024,,,,,,,FG
,,,,01-004,Product 01XXXX,,,,Batch Material Cost,TSD,,MAT,,410656.8926,700,693686231.45,VND,,,31/01/2024,,,,,,,FG
,,,,01-007,Product 01XXXX,,,,Batch Resource Cost,TSD,,MAT,,313066.9029,4811,685058959.99,VND,,,31/01/2024,,,,,,,FG
,,,,02-001,Product 02XXXX,,,,Batch Material Cost,TSD,,MAT,,511571.0556,3154,611205443.54,VND,,,31/01/2024,,,,,,,FG
,,,,02-019,Product 02XXXX,,,,Batch Resource Cost,TSD,,MAT,,146233.7598,3210,342333610.18,VND,,,31/01/2024,,,,,,,FG
,,,,03-015,Product 03XXXX,,,,Batch Material Cost,TSD,,MAT,,477435.8842,2135,494987632.1,VND,,,31/01/2024,,,,,,,FG
,,,,03-025,Product 03XXXX,,,,Unit Cost Adjustments,TSD,,MAT,,248147.9925,1220,619396607.54,VND,,,31/01/2024,,,,,,,FG
,,,,04-010,Product 04XXXX,,,,Batch Resource Cost,TSD,,MAT,,132013.253,3012,216471177.5,VND,,,31/01/2024,,,,,,,FG
,,,,04-013,Product 04XXXX,,,,Batch Material Cost,TSD,,MAT,,89043.8412,3328,128579009.41,VND,,,31/01/2024,,,,,,,FG
,,,,05-004,Product 05XXXX,,,,Batch Material Cost,TSD,,MAT,,295417.1693,893,536877158.33,VND,,,31/01/2024,,,,,,,FG
,,,,05-010,Product 05XXXX,,,,Batch Resource Cost,TSD,,MAT,,205456.2655,3019,227792673.27,VND,,,31/01/2024,,,,,,,FG
,,,,06-018,Product 06XXXX,,,,Batch Material Cost,TSD,,MAT,,379261.9661,1084,681378526.64,VND,,,31/01/2024,,,,,,,FG
,,,,06-012,Product 06XXXX,,,,Batch Resource Cost,TSD,,MAT,,142932.3555,4551,258426978.57,VND,,,31/01/2024,,,,,,,FG
,,,,07-026,Product 07PROU,,,,Unit Cost Adjustments,TSD,,MAT,,33310.0814,4246,70321556.94,VND,,,31/01/2024,,,,,,,FG
,,,,07-023,Product 07PROU,,,,Batch Resource Cost,TSD,,MAT,,286847.6483,1892,680823275.88,VND,,,31/01/2024,,,,,,,FG
,,,,07-022,Product 07XXXX,,,,Batch Material Cost,TSD,,MAT,,254794.0558,4762,602697809.39,VND,,,31/01/2024,,,,,,,FG
,,,,07-021,Product 07XXXX,,,,Value Adjustments,TSD,,MAT,,157587.4442,301,227685441.91,VND,,,31/01/2024,,,,,,,FG
,,,,08-011,Product 08XXXX,,,,Batch Resource Cost,TSD,,MAT,,169794.8335,485,290955761.5,VND,,,31/01/2024,,,,,,,FG
,,,,08-011,Product 08XXXX,,,,Batch Material Cost,TSD,,MAT,,168113.9283,1054,396979696.54,VND,,,31/01/2024,,,,,,,FG
,,,,01-017,Product 01XXXX,,,,Batch Material Cost,GKD,,MAT,,175552.7864,4480,413468599.09,VND,,,31/01/2024,,,,,,,FG
,,,,01-021,Product 01XXXX,,,,Batch Resource Cost,GKD,,MAT,,613799.6156,3220,504703225.59,VND,,,31/01/2024,,,,,,,FG
,,,,02-029,Product 02XXXX,,,,Batch Material Cost,GKD,,MAT,,166502.5783,4522,157360660.27,VND,,,31/01/2024,,,,,,,FG
,,,,02-027,Product 02XXXX,,,,Unit Cost Adjustments,GKD,,MAT,,208223.5,1051,432049769.87,VND,,,31/01/2024,,,,,,,FG
,,,,03-008,Product 03XXXX,,,,Batch Resource Cost,GKD,,MAT,,103699.4628,2165,166179820.83,VND,,,31/01/2024,,,,,,,FG
,,,,03-022,Product 03XXXX,,,,Batch Material Cost,GKD,,MAT,,169656.0824,2261,287906565.38,VND,,,31/01/2024,,,,,,,FG
,,,,04-003,Product 04XXXX,,,,Batch Material Cost,GKD,,MAT,,130244.9025,4995,120913600.06,VND,,,31/01/2024,,,,,,,FG
,,,,04-001,Product 04XXXX,,,,Batch Resource Cost,GKD,,MAT,,167850.6183,154,284537580.67,VND,,,31/01/2024,,,,,,,FG
,,,,05-024,Product 05XXXX,,,,Batch Material Cost,GKD,,MAT,,396642.1084,2590,466987647.45,VND,,,31/01/2024,,,,,,,FG
,,,,05-005,Product 05XXXX,,,,Batch Resource Cost,GKD,,MAT,,320583.898,3775,441367445.86,VND,,,31/01/2024,,,,,,,FG
,,,,06-004,Product 06XXXX,,,,Batch Material Cost,GKD,,MAT,,296123.5722,264,654839900.17,VND,,,31/01/2024,,,,,,,FG
,,,,06-018,Product 06XXXX,,,,Batch Resource Cost,GKD,,MAT,,112109.6665,4525,151435843.31,VND,,,31/01/2024,,,,,,,FG
,,,,07-002,Product 07PROU,,,,Batch Material Cost,GKD,,MAT,,125764.6198,2020,190712203.12,VND,,,31/01/2024,,,,,,,FG
,,,,07-002,Product 07PROU,,,,Batch Resource Cost,GKD,,MAT,,508949.334,4902,631616219.41,VND,,,31/01/2024,,,,,,,FG
,,,,07-012,Product 07XXXX,,,,Batch Material Cost,GKD,,MAT,,235260.3847,3677,362633909.37,VND,,,31/01/2024,,,,,,,FG
,,,,07-024,Product 07XXXX,,,,Batch Resource Cost,GKD,,MAT,,244014.4537,2206,555473418.81,VND,,,31/01/2024,,,,,,,FG
,,,,08-013,Product 08XXXX,,,,Batch Resource Cost,GKD,,MAT,,36153.7992,1404,62212668.19,VND,,,31/01/2024,,,,,,,FG
,,,,08-004,Product 08XXXX,,,,Batch Material Cost,GKD,,MAT,,97810.9661,541,217079839.04,VND,,,31/01/2024,,,,,,,FG
,,,,01-010,Product 01XXXX,,,,Unit Cost Adjustments,DND,,MAT,,362740.565,140,616813072.16,VND,,,31/01/2024,,,,,,,FG
,,,,01-026,Product 01XXXX,,,,Batch Material Cost,DND,,MAT,,136150.1712,4783,259694832.55,VND,,,31/01/2024,,,,,,,FG
,,,,02-012,Product 02XXXX,,,,Batch Material Cost,DND,,MAT,,444115.2411,554,806336641.51,VND,,,31/01/2024,,,,,,,FG
,,,,02-026,Product 02XXXX,,,,Batch Resource Cost,DND,,MAT,,355410.7616,3729,528655222.86,VND,,,31/01/2024,,,,,,,FG
,,,,03-021,Product 03XXXX,,,,Batch Material Cost,DND,,MAT,,94954.0662,3950,115567975.47,VND,,,31/01/2024,,,,,,,FG
,,,,03-007,Product 03XXXX,,,,Unit Cost Adjustments,DND,,MAT,,126079.5224,1350,254980457.19,VND,,,31/01/2024,,,,,,,FG
,,,,04-026,Product 04XXXX,,,,Unit Cost Adjustments,DND,,MAT,,420206.5342,850,681736106.13,VND,,,31/01/2024,,,,,,,FG
,,,,04-027,Product 04XXXX,,,,Batch Material Cost,DND,,MAT,,285922.77,4560,253734694.78,VND,,,31/01/2024,,,,,,,FG
,,,,05-029,Product 05XXXX,,,,Batch Material Cost,DND,,MAT,,196142.8207,1038,294557291.94,VND,,,31/01/2024,,,,,,,FG
,,,,05-018,Product 05XXXX,,,,Batch Resource Cost,DND,,MAT,,530286.6429,1352,492682318.91,VND,,,31/01/2024,,,,,,,FG
,,,,06-027,Product 06XXXX,,,,Batch Material Cost,DND,,MAT,,35598.6515,4190,47517583.58,VND,,,31/01/2024,,,,,,,FG
,,,,06-017,Product 06XXXX,,,,Unit Cost Adjustments,DND,,MAT,,424885.7144,4207,838704173.58,VND,,,31/01/2024,,,,,,,FG
,,,,07-022,Product 07PROU,,,,Batch Material Cost,DND,,MAT,,340779.4178,809,654273214.9,VND,,,31/01/2024,,,,,,,FG
,,,,07-027,Product 07PROU,,,,Batch Resource Cost,DND,,MAT,,463572.3958,4093,880477126.58,VND,,,31/01/2024,,,,,,,FG
,,,,07-022,Product 07XXXX,,,,Batch Material Cost,DND,,MAT,,323681.3275,4445,564782222.51,VND,,,31/01/2024,,,,,,,FG
,,,,07-019,Product 07XXXX,,,,Batch Resource Cost,DND,,MAT,,123479.565,1621,252236676.37,VND,,,31/01/2024,,,,,,,FG
