PERIOD,CodeNM,ITEM,NHÓM,Sản Lượng 25
2025-01-31,FAC-A,07-008,07PROU,464332.0
2025-01-31,FAC-A,07-009,07PROU,499433.0
2025-01-31,FAC-A,07-010,07PROU,111111.0
2025-01-31,FAC-A,07-001,07XXXX,364703.0
2025-01-31,FAC-A,07-002,07XXXX,379062.0
2025-01-31,FAC-A,07-003,07XXXX,482569.0
2025-01-31,FAC-A,07-004,07XXXX,226272.0
2025-01-31,FAC-A,07-005,07XXXX,333795.0
2025-01-31,FAC-A,07-006,07XXXX,233883.0
2025-01-31,FAC-A,07-008,07XXXX,9756.0
2025-01-31,FAC-A,07-011,07XXXX,194444.0
2025-01-31,FAC-A,07-013,07XXXX,229417.0
2025-01-31,FAC-A,07-014,07XXXX,303312.0
2025-01-31,FAC-A,07-016,07XXXX,146745.0
2025-01-31,FAC-A,07-017,07XXXX,179899.0
2025-01-31,FAC-A,07-020,07XXXX,393148.0
2025-01-31,FAC-A,07-021,07XXXX,161589.0
2025-01-31,FAC-A,08-001,08XXXX,138464.0
2025-01-31,FAC-A,08-002,08XXXX,282447.0
2025-01-31,FAC-A,08-006,08XXXX,383723.0
2025-01-31,FAC-A,08-007,08XXXX,183904.0
2025-01-31,FAC-A,08-008,08XXXX,49969.0
2025-01-31,FAC-A,08-011,08XXXX,250582.0
2025-01-31,FAC-A,08-014,08XXXX,147362.0
2025-01-31,FAC-B,01-001,01XXXX,117881.0
2025-01-31,FAC-B,01-003,01XXXX,290548.0
2025-01-31,FAC-B,01-004,01XXXX,249450.0
2025-01-31,FAC-B,01-005,01XXXX,221619.0
2025-01-31,FAC-B,01-007,01XXXX,42991.0
2025-01-31,FAC-B,01-009,01XXXX,218781.0
2025-01-31,FAC-B,01-010,01XXXX,40149.0
2025-01-31,FAC-B,01-011,01XXXX,320248.0
2025-01-31,FAC-B,01-012,01XXXX,304511.0
2025-01-31,FAC-B,01-013,01XXXX,40066.0
2025-01-31,FAC-B,01-014,01XXXX,173932.0
2025-01-31,FAC-B,01-015,01XXXX,314742.0
2025-01-31,FAC-B,01-016,01XXXX,234985.0
2025-01-31,FAC-B,01-018,01XXXX,16289.0
2025-01-31,FAC-B,01-021,01XXXX,390300.0
2025-01-31,FAC-B,01-023,01XXXX,319817.0
2025-01-31,FAC-B,01-024,01XXXX,281957.0
2025-01-31,FAC-B,01-025,01XXXX,172036.0
2025-01-31,FAC-B,01-026,01XXXX,447827.0
2025-01-31,FAC-B,01-027,01XXXX,45366.0
2025-01-31,FAC-B,01-029,01XXXX,203538.0
2025-01-31,FAC-B,01-030,01XXXX,463763.0
2025-01-31,FAC-B,02-002,02XXXX,193366.0
2025-01-31,FAC-B,02-003,02XXXX,437027.0
2025-01-31,FAC-B,02-004,02XXXX,423725.0
2025-01-31,FAC-B,02-005,02XXXX,201474.0
2025-01-31,FAC-B,02-006,02XXXX,308616.0
2025-01-31,FAC-B,02-007,02XXXX,327110.0
2025-01-31,FAC-B,02-008,02XXXX,79371.0
2025-01-31,FAC-B,02-009,02XXXX,20812.0
2025-01-31,FAC-B,02-010,02XXXX,348609.0
2025-01-31,FAC-B,02-011,02XXXX,287979.0
2025-01-31,FAC-B,02-014,02XXXX,261661.0
2025-01-31,FAC-B,02-015,02XXXX,126867.0
2025-01-31,FAC-B,02-016,02XXXX,413688.0
2025-01-31,FAC-B,02-017,02XXXX,369909.0
2025-01-31,FAC-B,02-018,02XXXX,178733.0
2025-01-31,FAC-B,02-019,02XXXX,305797.0
2025-01-31,FAC-B,02-020,02XXXX,54708.0
2025-01-31,FAC-B,02-021,02XXXX,358774.0
2025-01-31,FAC-B,02-022,02XXXX,516390.0
2025-01-31,FAC-B,02-023,02XXXX,156549.0
2025-01-31,FAC-B,02-024,02XXXX,255876.0
2025-01-31,FAC-B,02-025,02XXXX,213610.0
2025-01-31,FAC-B,03-001,03XXXX,277795.0
2025-01-31,FAC-B,03-002,03XXXX,152868.0
2025-01-31,FAC-B,03-003,03XXXX,408101.0
2025-01-31,FAC-B,03-004,03XXXX,188052.0
2025-01-31,FAC-B,03-005,03XXXX,320721.0
2025-01-31,FAC-B,03-006,03XXXX,106083.0
2025-01-31,FAC-B,03-008,03XXXX,378100.0
2025-01-31,FAC-B,03-009,03XXXX,40101.0
2025-01-31,FAC-B,03-010,03XXXX,388377.0
2025-01-31,FAC-B,03-011,03XXXX,391537.0
2025-01-31,FAC-B,03-012,03XXXX,238061.0
2025-01-31,FAC-B,03-013,03XXXX,109612.0
2025-01-31,FAC-B,03-014,03XXXX,302033.0
2025-01-31,FAC-B,03-015,03XXXX,12713.0
2025-01-31,FAC-B,04-001,04XXXX,238248.0
2025-01-31,FAC-B,04-002,04XXXX,283310.0
2025-01-31,FAC-B,04-003,04XXXX,314283.0
2025-01-31,FAC-B,04-004,04XXXX,283617.0
2025-01-31,FAC-B,04-005,04XXXX,192091.0
2025-01-31,FAC-B,04-006,04XXXX,20862.0
2025-01-31,FAC-B,04-007,04XXXX,92869.0
2025-01-31,FAC-B,04-009,04XXXX,68200.0
2025-01-31,FAC-B,04-010,04XXXX,457428.0
2025-01-31,FAC-B,04-011,04XXXX,399150.0
2025-01-31,FAC-B,04-013,04XXXX,297921.0
2025-01-31,FAC-B,04-014,04XXXX,118738.0
2025-01-31,FAC-B,04-015,04XXXX,148927.0
2025-01-31,FAC-B,04-016,04XXXX,210761.0
2025-01-31,FAC-B,04-017,04XXXX,130575.0
2025-01-31,FAC-B,04-018,04XXXX,162227.0
2025-01-31,FAC-B,04-019,04XXXX,82806.0
2025-01-31,FAC-B,04-020,04XXXX,74771.0
2025-01-31,FAC-B,04-021,04XXXX,411731.0
2025-01-31,FAC-B,04-023,04XXXX,492649.0
2025-01-31,FAC-B,04-025,04XXXX,372089.0
2025-01-31,FAC-B,04-026,04XXXX,416712.0
2025-01-31,FAC-B,04-027,04XXXX,487464.0
2025-01-31,FAC-B,04-028,04XXXX,472810.0
2025-01-31,FAC-B,04-030,04XXXX,396738.0
2025-01-31,FAC-B,04-031,04XXXX,227533.0
2025-01-31,FAC-B,04-032,04XXXX,355065.0
2025-01-31,FAC-B,04-035,04XXXX,473466.0
2025-01-31,FAC-B,04-036,04XXXX,145838.0
2025-01-31,FAC-B,04-037,04XXXX,105893.0
2025-01-31,FAC-B,04-038,04XXXX,208929.0
2025-01-31,FAC-B,04-039,04XXXX,309313.0
2025-01-31,FAC-B,04-043,04XXXX,96982.0
2025-01-31,FAC-B,04-045,04XXXX,236724.0
2025-01-31,FAC-B,05-001,05XXXX,21949.0
2025-01-31,FAC-B,05-002,05XXXX,190812.0
2025-01-31,FAC-B,05-003,05XXXX,469720.0
2025-01-31,FAC-B,05-004,05XXXX,22225.0
2025-01-31,FAC-B,05-005,05XXXX,332391.0
2025-01-31,FAC-B,05-006,05XXXX,289913.0
2025-01-31,FAC-B,05-007,05XXXX,108870.0
2025-01-31,FAC-B,05-008,05XXXX,338836.0
2025-01-31,FAC-B,05-009,05XXXX,278619.0
2025-01-31,FAC-B,05-012,05XXXX,335733.0
2025-01-31,FAC-B,05-013,05XXXX,208853.0
2025-01-31,FAC-B,05-014,05XXXX,76185.0
2025-01-31,FAC-B,05-015,05XXXX,382460.0
2025-01-31,FAC-B,05-016,05XXXX,394510.0
2025-01-31,FAC-B,05-017,05XXXX,14964.0
2025-01-31,FAC-B,05-019,05XXXX,375804.0
2025-01-31,FAC-B,05-020,05XXXX,450317.0
2025-01-31,FAC-B,06-001,06XXXX,159867.0
2025-01-31,FAC-B,06-002,06XXXX,255375.0
2025-01-31,FAC-B,06-003,06XXXX,80882.0
2025-01-31,FAC-B,06-004,06XXXX,118059.0
2025-01-31,FAC-B,06-006,06XXXX,401120.0
2025-01-31,FAC-B,06-007,06XXXX,260745.0
2025-01-31,FAC-B,06-009,06XXXX,356751.0
2025-01-31,FAC-B,06-011,06XXXX,152388.0
2025-01-31,FAC-B,06-012,06XXXX,124987.0
2025-01-31,FAC-B,06-013,06XXXX,499586.0
2025-01-31,FAC-B,06-014,06XXXX,199756.0
2025-01-31,FAC-B,06-015,06XXXX,123748.0
2025-01-31,FAC-B,06-016,06XXXX,328194.0
2025-01-31,FAC-B,06-017,06XXXX,388947.0
2025-01-31,FAC-B,07-001,07PROU,299955.0
2025-01-31,FAC-B,07-003,07PROU,192045.0
2025-01-31,FAC-B,07-004,07PROU,258560.0
2025-01-31,FAC-B,07-007,07PROU,242728.0
2025-01-31,FAC-B,07-008,07PROU,225216.0
2025-01-31,FAC-B,07-009,07PROU,318476.0
2025-01-31,FAC-B,07-010,07PROU,408706.0
2025-01-31,FAC-B,07-011,07PROU,58200.0
2025-01-31,FAC-B,07-012,07PROU,182984.0
2025-01-31,FAC-B,07-001,07XXXX,492050.0
2025-01-31,FAC-B,07-002,07XXXX,238283.0
2025-01-31,FAC-B,07-003,07XXXX,21405.0
2025-01-31,FAC-B,07-009,07XXXX,73717.0
2025-01-31,FAC-B,07-011,07XXXX,79885.0
2025-01-31,FAC-B,07-012,07XXXX,111568.0
2025-01-31,FAC-B,07-014,07XXXX,224055.0
2025-01-31,FAC-B,07-015,07XXXX,54902.0
2025-01-31,FAC-B,07-016,07XXXX,381499.0
2025-01-31,FAC-B,07-018,07XXXX,169186.0
2025-01-31,FAC-B,07-019,07XXXX,398751.0
2025-01-31,FAC-B,07-021,07XXXX,298727.0
2025-01-31,FAC-B,07-022,07XXXX,382929.0
2025-01-31,FAC-B,08-001,08XXXX,15347.0
2025-01-31,FAC-B,08-003,08XXXX,207489.0
2025-01-31,FAC-B,08-004,08XXXX,73530.0
2025-01-31,FAC-B,08-006,08XXXX,404435.0
2025-01-31,FAC-B,08-007,08XXXX,451899.0
2025-01-31,FAC-B,08-009,08XXXX,232194.0
2025-01-31,FAC-B,08-011,08XXXX,297921.0
2025-01-31,FAC-B,08-012,08XXXX,144279.0
2025-01-31,FAC-B,08-013,08XXXX,21357.0
2025-01-31,FAC-B,08-014,08XXXX,409718.0
2025-01-31,FAC-C,01-004,01XXXX,366032.0
2025-01-31,FAC-C,01-005,01XXXX,279197.0
2025-01-31,FAC-C,01-006,01XXXX,15063.0
2025-01-31,FAC-C,01-007,01XXXX,258014.0
2025-01-31,FAC-C,01-008,01XXXX,69578.0
2025-01-31,FAC-C,01-010,01XXXX,255155.0
2025-01-31,FAC-C,01-011,01XXXX,326417.0
2025-01-31,FAC-C,01-012,01XXXX,210900.0
2025-01-31,FAC-C,01-014,01XXXX,240946.0
2025-01-31,FAC-C,01-015,01XXXX,222658.0
2025-01-31,FAC-C,01-017,01XXXX,50704.0
2025-01-31,FAC-C,01-018,01XXXX,388110.0
2025-01-31,FAC-C,01-021,01XXXX,196097.0
2025-01-31,FAC-C,01-022,01XXXX,516416.0
2025-01-31,FAC-C,01-025,01XXXX,10625.0
2025-01-31,FAC-C,01-026,01XXXX,61500.0
2025-01-31,FAC-C,01-027,01XXXX,250890.0
2025-01-31,FAC-C,01-028,01XXXX,199981.0
2025-01-31,FAC-C,01-029,01XXXX,245543.0
2025-01-31,FAC-C,01-030,01XXXX,121831.0
2025-01-31,FAC-C,02-001,02XXXX,50685.0
2025-01-31,FAC-C,02-002,02XXXX,22102.0
2025-01-31,FAC-C,02-004,02XXXX,206589.0
2025-01-31,FAC-C,02-005,02XXXX,403953.0
2025-01-31,FAC-C,02-006,02XXXX,189353.0
2025-01-31,FAC-C,02-007,02XXXX,280921.0
2025-01-31,FAC-C,02-008,02XXXX,59417.0
2025-01-31,FAC-C,02-009,02XXXX,491881.0
2025-01-31,FAC-C,02-011,02XXXX,420356.0
2025-01-31,FAC-C,02-013,02XXXX,281308.0
2025-01-31,FAC-C,02-014,02XXXX,197060.0
2025-01-31,FAC-C,02-016,02XXXX,190463.0
2025-01-31,FAC-C,02-017,02XXXX,15970.0
2025-01-31,FAC-C,02-018,02XXXX,390518.0
2025-01-31,FAC-C,02-021,02XXXX,175450.0
2025-01-31,FAC-C,02-022,02XXXX,45217.0
2025-01-31,FAC-C,02-023,02XXXX,283213.0
2025-01-31,FAC-C,02-024,02XXXX,405899.0
2025-01-31,FAC-C,02-025,02XXXX,118268.0
2025-01-31,FAC-C,03-003,03XXXX,351406.0
2025-01-31,FAC-C,03-004,03XXXX,367144.0
2025-01-31,FAC-C,03-006,03XXXX,407226.0
2025-01-31,FAC-C,03-007,03XXXX,124904.0
2025-01-31,FAC-C,03-010,03XXXX,410767.0
2025-01-31,FAC-C,03-012,03XXXX,14468.0
2025-01-31,FAC-C,03-013,03XXXX,72693.0
2025-01-31,FAC-C,03-014,03XXXX,210828.0
2025-01-31,FAC-C,03-015,03XXXX,392694.0
2025-01-31,FAC-C,04-002,04XXXX,167632.0
2025-01-31,FAC-C,04-004,04XXXX,302945.0
2025-01-31,FAC-C,04-005,04XXXX,308933.0
2025-01-31,FAC-C,04-006,04XXXX,444082.0
2025-01-31,FAC-C,04-007,04XXXX,142629.0
2025-01-31,FAC-C,04-008,04XXXX,324136.0
2025-01-31,FAC-C,04-009,04XXXX,214481.0
2025-01-31,FAC-C,04-010,04XXXX,207944.0
2025-01-31,FAC-C,04-012,04XXXX,163895.0
2025-01-31,FAC-C,04-013,04XXXX,390580.0
2025-01-31,FAC-C,04-014,04XXXX,288422.0
2025-01-31,FAC-C,04-015,04XXXX,208336.0
2025-01-31,FAC-C,04-016,04XXXX,174383.0
2025-01-31,FAC-C,04-018,04XXXX,466010.0
2025-01-31,FAC-C,04-021,04XXXX,296149.0
2025-01-31,FAC-C,04-022,04XXXX,75670.0
2025-01-31,FAC-C,04-024,04XXXX,317197.0
2025-01-31,FAC-C,04-026,04XXXX,246523.0
2025-01-31,FAC-C,04-027,04XXXX,233583.0
2025-01-31,FAC-C,04-028,04XXXX,445983.0
2025-01-31,FAC-C,04-029,04XXXX,386806.0
2025-01-31,FAC-C,04-031,04XXXX,139608.0
2025-01-31,FAC-C,04-032,04XXXX,45871.0
2025-01-31,FAC-C,04-033,04XXXX,249295.0
2025-01-31,FAC-C,04-034,04XXXX,341913.0
2025-01-31,FAC-C,04-035,04XXXX,415550.0
2025-01-31,FAC-C,04-036,04XXXX,138673.0
2025-01-31,FAC-C,04-037,04XXXX,139027.0
2025-01-31,FAC-C,04-038,04XXXX,264972.0
2025-01-31,FAC-C,04-039,04XXXX,168270.0
2025-01-31,FAC-C,04-041,04XXXX,44250.0
2025-01-31,FAC-C,04-042,04XXXX,504926.0
2025-01-31,FAC-C,04-044,04XXXX,91463.0
2025-01-31,FAC-C,05-001,05XXXX,458630.0
2025-01-31,FAC-C,05-002,05XXXX,217508.0
2025-01-31,FAC-C,05-003,05XXXX,259423.0
2025-01-31,FAC-C,05-005,05XXXX,70443.0
2025-01-31,FAC-C,05-006,05XXXX,328144.0
2025-01-31,FAC-C,05-007,05XXXX,188758.0
2025-01-31,FAC-C,05-008,05XXXX,288359.0
2025-01-31,FAC-C,05-009,05XXXX,282493.0
2025-01-31,FAC-C,05-010,05XXXX,113618.0
2025-01-31,FAC-C,05-011,05XXXX,177308.0
2025-01-31,FAC-C,05-012,05XXXX,210723.0
2025-01-31,FAC-C,05-013,05XXXX,210398.0
2025-01-31,FAC-C,05-014,05XXXX,244699.0
2025-01-31,FAC-C,05-015,05XXXX,429745.0
2025-01-31,FAC-C,05-016,05XXXX,422091.0
2025-01-31,FAC-C,05-017,05XXXX,357209.0
2025-01-31,FAC-C,05-018,05XXXX,271786.0
2025-01-31,FAC-C,05-019,05XXXX,136596.0
2025-01-31,FAC-C,05-020,05XXXX,181244.0
2025-01-31,FAC-C,06-003,06XXXX,196701.0
2025-01-31,FAC-C,06-004,06XXXX,220156.0
2025-01-31,FAC-C,06-005,06XXXX,265946.0
2025-01-31,FAC-C,06-008,06XXXX,19161.0
2025-01-31,FAC-C,06-011,06XXXX,457939.0
2025-01-31,FAC-C,06-012,06XXXX,416050.0
2025-01-31,FAC-C,06-014,06XXXX,323784.0
2025-01-31,FAC-C,06-015,06XXXX,228822.0
2025-01-31,FAC-C,06-016,06XXXX,308085.0
2025-01-31,FAC-C,06-018,06XXXX,227467.0
2025-01-31,FAC-C,07-001,07PROU,107910.0
2025-01-31,FAC-C,07-005,07PROU,461696.0
2025-01-31,FAC-C,07-006,07PROU,37873.0
2025-01-31,FAC-C,07-007,07PROU,422124.0
2025-01-31,FAC-C,07-008,07PROU,153040.0
2025-01-31,FAC-C,07-010,07PROU,456993.0
2025-01-31,FAC-C,07-011,07PROU,306859.0
2025-01-31,FAC-C,07-012,07PROU,287649.0
2025-01-31,FAC-C,07-001,07XXXX,397265.0
2025-01-31,FAC-C,07-002,07XXXX,362469.0
2025-01-31,FAC-C,07-003,07XXXX,271503.0
2025-01-31,FAC-C,07-004,07XXXX,155804.0
2025-01-31,FAC-C,07-006,07XXXX,179594.0
2025-01-31,FAC-C,07-008,07XXXX,267727.0
2025-01-31,FAC-C,07-009,07XXXX,145086.0
2025-01-31,FAC-C,07-013,07XXXX,315536.0
2025-01-31,FAC-C,07-014,07XXXX,351278.0
2025-01-31,FAC-C,07-015,07XXXX,527905.0
2025-01-31,FAC-C,07-017,07XXXX,161545.0
2025-01-31,FAC-C,07-018,07XXXX,360619.0
2025-01-31,FAC-C,07-019,07XXXX,383996.0
2025-01-31,FAC-C,07-022,07XXXX,391820.0
2025-01-31,FAC-C,08-003,08XXXX,417145.0
2025-01-31,FAC-C,08-004,08XXXX,202902.0
2025-01-31,FAC-C,08-005,08XXXX,337632.0
2025-01-31,FAC-C,08-007,08XXXX,228622.0
2025-01-31,FAC-C,08-009,08XXXX,452446.0
2025-01-31,FAC-C,08-012,08XXXX,395906.0
2025-01-31,FAC-C,08-013,08XXXX,95506.0
2025-01-31,FAC-C,08-016,08XXXX,172177.0
2025-01-31,FAC-D,01-002,01XXXX,133798.0
2025-01-31,FAC-D,01-004,01XXXX,19648.0
2025-01-31,FAC-D,01-005,01XXXX,75118.0
2025-01-31,FAC-D,01-006,01XXXX,333104.0
2025-01-31,FAC-D,01-007,01XXXX,502544.0
2025-01-31,FAC-D,01-008,01XXXX,16396.0
2025-01-31,FAC-D,01-009,01XXXX,220517.0
2025-01-31,FAC-D,01-010,01XXXX,416899.0
2025-01-31,FAC-D,01-011,01XXXX,401334.0
2025-01-31,FAC-D,01-013,01XXXX,406231.0
2025-01-31,FAC-D,01-014,01XXXX,151052.0
2025-01-31,FAC-D,01-015,01XXXX,410893.0
2025-01-31,FAC-D,01-016,01XXXX,455688.0
2025-01-31,FAC-D,01-017,01XXXX,517192.0
2025-01-31,FAC-D,01-018,01XXXX,221247.0
2025-01-31,FAC-D,01-020,01XXXX,394690.0
2025-01-31,FAC-D,01-021,01XXXX,47834.0
2025-01-31,FAC-D,01-023,01XXXX,519354.0
2025-01-31,FAC-D,01-024,01XXXX,109951.0
2025-01-31,FAC-D,01-025,01XXXX,46274.0
2025-01-31,FAC-D,01-026,01XXXX,356425.0
2025-01-31,FAC-D,01-027,01XXXX,427159.0
2025-01-31,FAC-D,01-028,01XXXX,284296.0
2025-01-31,FAC-D,01-029,01XXXX,252439.0
2025-01-31,FAC-D,01-030,01XXXX,469084.0
2025-01-31,FAC-D,02-001,02XXXX,191714.0
2025-01-31,FAC-D,02-002,02XXXX,94459.0
2025-01-31,FAC-D,02-004,02XXXX,60009.0
2025-01-31,FAC-D,02-005,02XXXX,425095.0
2025-01-31,FAC-D,02-009,02XXXX,81057.0
2025-01-31,FAC-D,02-010,02XXXX,116288.0
2025-01-31,FAC-D,02-012,02XXXX,428901.0
2025-01-31,FAC-D,02-013,02XXXX,406277.0
2025-01-31,FAC-D,02-014,02XXXX,323947.0
2025-01-31,FAC-D,02-015,02XXXX,330773.0
2025-01-31,FAC-D,02-016,02XXXX,245114.0
2025-01-31,FAC-D,02-017,02XXXX,340684.0
2025-01-31,FAC-D,02-018,02XXXX,421282.0
2025-01-31,FAC-D,02-019,02XXXX,256982.0
2025-01-31,FAC-D,02-020,02XXXX,229038.0
2025-01-31,FAC-D,02-021,02XXXX,375926.0
2025-01-31,FAC-D,02-022,02XXXX,366135.0
2025-01-31,FAC-D,02-023,02XXXX,207569.0
2025-01-31,FAC-D,02-024,02XXXX,354400.0
2025-01-31,FAC-D,02-025,02XXXX,234193.0
2025-01-31,FAC-D,03-001,03XXXX,178451.0
2025-01-31,FAC-D,03-002,03XXXX,157543.0
2025-01-31,FAC-D,03-003,03XXXX,17260.0
2025-01-31,FAC-D,03-004,03XXXX,368504.0
2025-01-31,FAC-D,03-005,03XXXX,60426.0
2025-01-31,FAC-D,03-006,03XXXX,522976.0
2025-01-31,FAC-D,03-007,03XXXX,284406.0
2025-01-31,FAC-D,03-010,03XXXX,352971.0
2025-01-31,FAC-D,03-012,03XXXX,66329.0
2025-01-31,FAC-D,03-013,03XXXX,365898.0
2025-01-31,FAC-D,03-014,03XXXX,30126.0
2025-01-31,FAC-D,03-015,03XXXX,41406.0
2025-01-31,FAC-D,04-002,04XXXX,227166.0
2025-01-31,FAC-D,04-003,04XXXX,307210.0
2025-01-31,FAC-D,04-004,04XXXX,333011.0
2025-01-31,FAC-D,04-006,04XXXX,484545.0
2025-01-31,FAC-D,04-007,04XXXX,223212.0
