PR_RESPON,PR_DONVI,P_ORGANIZATION_CODE,PR_FROMDATE,PR_TODATE,PR_TYPE,P_USER,COMPANY_NAME,TEN_DV,P_FROMDATE,P_TODATE,MAY,TEN_MAY,KHO,ITEM_NO,ITEM_NAME,LOT_NUMBER,UOM,DON_GIA,QTY,AMOUNT,REASON,COMMENTS,TRX_DATE,KHUVUC,SO_CTG
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,110209559.23,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,75881029.22,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,128466932.84,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,122669202.46,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,62390055.02,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,51124589.88,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,13765936.6,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,129071156.39,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,118339922.59,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,97447636.63,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,26524460.55,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,14475162.81,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,118558377.99,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,136376476.79,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,20667888.11,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,48486062.47,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,84551937.19,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,56972258.8,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,142801304.68,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,58580907.88,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,142503071.44,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,59311279.95,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,165304698.48,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,20194489.1,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-E Factory E,,,,,,,,,,,,89584871.25,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-E Factory E,,,,,,,,,,,,38508001.8,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-E Factory E,,,,,,,,,,,,119294320.27,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-E Factory E,,,,,,,,,,,,146129546.52,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-E Factory E,,,,,,,,,,,,74511597.46,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-E Factory E,,,,,,,,,,,,31211023.45,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-E Factory E,,,,,,,,,,,,34434720.21,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-E Factory E,,,,,,,,,,,,35593263.53,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-E Factory E,,,,,,,,,,,,25870556.06,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-E Factory E,,,,,,,,,,,,122673500.52,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-F Factory F,,,,,,,,,,,,75150643.99,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-F Factory F,,,,,,,,,,,,15378606.55,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-F Factory F,,,,,,,,,,,,34059747.99,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-F Factory F,,,,,,,,,,,,40186754.32,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-F Factory F,,,,,,,,,,,,19515667.45,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-F Factory F,,,,,,,,,,,,87027069.0,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-F Factory F,,,,,,,,,,,,36952058.04,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-F Factory F,,,,,,,,,,,,59618883.53,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-F Factory F,,,,,,,,,,,,44012930.6,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-F Factory F,,,,,,,,,,,,100772433.67,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-G Factory G,,,,,,,,,,,,67090462.22,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-G Factory G,,,,,,,,,,,,92765126.39,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-G Factory G,,,,,,,,,,,,101105712.98,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-G Factory G,,,,,,,,,,,,79242390.09,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-G Factory G,,,,,,,,,,,,143220105.09,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-G Factory G,,,,,,,,,,,,76363571.76,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-G Factory G,,,,,,,,,,,,86266363.79,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-G Factory G,,,,,,,,,,,,50526261.19,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-G Factory G,,,,,,,,,,,,100870052.91,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-G Factory G,,,,,,,,,,,,72615634.5,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-H Factory H,,,,,,,,,,,,36442300.38,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-H Factory H,,,,,,,,,,,,59097118.83,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-H Factory H,,,,,,,,,,,,109664155.56,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-H Factory H,,,,,,,,,,,,78865284.1,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-H Factory H,,,,,,,,,,,,106639387.87,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-H Factory H,,,,,,,,,,,,37370265.55,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-H Factory H,,,,,,,,,,,,116628668.06,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-H Factory H,,,,,,,,,,,,145328824.46,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-H Factory H,,,,,,,,,,,,133048795.49,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-H Factory H,,,,,,,,,,,,60947030.39,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-I Factory I,,,,,,,,,,,,66935788.92,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-I Factory I,,,,,,,,,,,,150961648.44,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-I Factory I,,,,,,,,,,,,66540344.03,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-I Factory I,,,,,,,,,,,,70151446.95,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-I Factory I,,,,,,,,,,,,129864543.94,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-I Factory I,,,,,,,,,,,,17195381.88,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-I Factory I,,,,,,,,,,,,65345438.94,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-I Factory I,,,,,,,,,,,,132790409.38,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-I Factory I,,,,,,,,,,,,90674074.39,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-I Factory I,,,,,,,,,,,,68103932.97,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-J Factory J,,,,,,,,,,,,81872845.62,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-J Factory J,,,,,,,,,,,,85518476.22,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-J Factory J,,,,,,,,,,,,37023714.72,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-J Factory J,,,,,,,,,,,,53950380.98,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-J Factory J,,,,,,,,,,,,60857682.96,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-J Factory J,,,,,,,,,,,,120707476.08,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-J Factory J,,,,,,,,,,,,96469564.55,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-J Factory J,,,,,,,,,,,,40251972.82,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-J Factory J,,,,,,,,,,,,67222603.67,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-J Factory J,,,,,,,,,,,,138188452.04,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-K Factory K,,,,,,,,,,,,77204317.53,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-K Factory K,,,,,,,,,,,,125014626.02,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-K Factory K,,,,,,,,,,,,133691309.14,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-K Factory K,,,,,,,,,,,,128195912.17,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-K Factory K,,,,,,,,,,,,27980984.34,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-K Factory K,,,,,,,,,,,,106964171.82,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-K Factory K,,,,,,,,,,,,28267185.62,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-K Factory K,,,,,,,,,,,,151375024.78,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-K Factory K,,,,,,,,,,,,154667638.69,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-K Factory K,,,,,,,,,,,,100613635.37,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-L Factory L,,,,,,,,,,,,143944261.7,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-L Factory L,,,,,,,,,,,,91068040.68,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-L Factory L,,,,,,,,,,,,82429539.21,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-L Factory L,,,,,,,,,,,,42347380.01,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-L Factory L,,,,,,,,,,,,48917654.84,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-L Factory L,,,,,,,,,,,,37114414.82,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-L Factory L,,,,,,,,,,,,143772264.63,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-L Factory L,,,,,,,,,,,,29563644.77,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-L Factory L,,,,,,,,,,,,107328541.44,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-L Factory L,,,,,,,,,,,,136612567.3,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-M Factory M,,,,,,,,,,,,117824634.56,XVT-Xuất vật tư sản xuất,,31/01/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-M Factory M,,,,,,,,,,,,102828859.21,XVT-Xuất vật tư sản xuất,,31/01/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-M Factory M,,,,,,,,,,,,154287324.74,XVT-Xuất vật tư sản xuất,,31/01/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-M Factory M,,,,,,,,,,,,50877589.96,XVT-Xuất vật tư sản xuất,,31/01/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-M Factory M,,,,,,,,,,,,36322512.54,XVT-Xuất vật tư sản xuất,,31/01/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-M Factory M,,,,,,,,,,,,39651618.68,XVT-Xuất vật tư sản xuất,,31/01/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-M Factory M,,,,,,,,,,,,47753535.75,XVT-Xuất vật tư sản xuất,,31/01/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-M Factory M,,,,,,,,,,,,140111222.48,XVT-Xuất vật tư sản xuất,,31/01/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-M Factory M,,,,,,,,,,,,109745543.02,XVT-Xuất vật tư sản xuất,,31/01/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-M Factory M,,,,,,,,,,,,19823105.51,XVT-Xuất vật tư sản xuất,,31/01/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,60086084.0,XVT-Xuất vật tư sản xuất,,28/02/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,9271723.33,XVT-Xuất vật tư sản xuất,,28/02/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,11557702.17,XVT-Xuất vật tư sản xuất,,28/02/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,43034876.6,XVT-Xuất vật tư sản xuất,,28/02/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,11744438.05,XVT-Xuất vật tư sản xuất,,28/02/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,60928644.83,XVT-Xuất vật tư sản xuất,,28/02/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,133103776.17,XVT-Xuất vật tư sản xuất,,28/02/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,163620322.09,XVT-Xuất vật tư sản xuất,,28/02/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,144464653.79,XVT-Xuất vật tư sản xuất,,28/02/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,44154759.09,XVT-Xuất vật tư sản xuất,,28/02/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,13607331.44,XVT-Xuất vật tư sản xuất,,28/02/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,149148873.29,XVT-Xuất vật tư sản xuất,,28/02/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,130123754.98,XVT-Xuất vật tư sản xuất,,28/02/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,156169966.5,XVT-Xuất vật tư sản xuất,,28/02/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,36223800.27,XVT-Xuất vật tư sản xuất,,28/02/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,60323766.89,XVT-Xuất vật tư sản xuất,,28/02/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,8301548.73,XVT-Xuất vật tư sản xuất,,28/02/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,127047469.71,XVT-Xuất vật tư sản xuất,,28/02/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,55318488.19,XVT-Xuất vật tư sản xuất,,28/02/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,34663609.91,XVT-Xuất vật tư sản xuất,,28/02/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,126137797.34,XVT-Xuất vật tư sản xuất,,28/02/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,104531066.35,XVT-Xuất vật tư sản xuất,,28/02/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,137459853.83,XVT-Xuất vật tư sản xuất,,28/02/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,94429912.87,XVT-Xuất vật tư sản xuất,,28/02/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,140429399.93,XVT-Xuất vật tư sản xuất,,28/02/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,107492641.6,XVT-Xuất vật tư sản xuất,,28/02/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,118376743.95,XVT-Xuất vật tư sản xuất,,28/02/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,109197728.14,XVT-Xuất vật tư sản xuất,,28/02/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,41261309.42,XVT-Xuất vật tư sản xuất,,28/02/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,165434867.83,XVT-Xuất vật tư sản xuất,,28/02/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,57780896.4,XVT-Xuất vật tư sản xuất,,28/02/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,43043187.64,XVT-Xuất vật tư sản xuất,,28/02/2025,10201-Khu vực đóng gói,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,161560555.99,XVT-Xuất vật tư sản xuất,,28/02/2025,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,135963950.04,XVT-Xuất vật tư sản xuất,,28/02/2025,20101-Khu vực tiện ích,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,82753941.81,XVT-Xuất vật tư sản xuất,,28/02/2025,30101-Khu vực văn phòng,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,78393709.02,XVT-Xuất vật tư sản xuất,,28/02/2025,40101-Khu vực bảo trì,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,104277976.35,XVT-Xuất vật tư sản xuất,,28/02/2025,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,133791125.65,XVT-Xuất vật tư sản xuất,,28/02/2025,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,86092814.64,XVT-Xuất vật tư sản xuất,,28/02/2025,70101-Khu vực lò hơi,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,116355946.59,XVT-Xuất vật tư sản xuất,,28/02/2025,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-E Factory E,,,,,,,,,,,,42298369.73,XVT-Xuất vật tư sản xuất,,28/02/2025,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-E Factory E,,,,,,,,,,,,105112701.9,XVT-Xuất vật tư sản xuất,,28/02/2025,10201-Khu vực đóng gói,
