START_DATE,END_DATE,LEDGER,COST_ORGANIZATION,ITEM_NUMBER,ITEM_DESCRIPTION,CALENDAR_CODE,PERIOD_CODE,COST_MTHD_CODE,SOURCE_DESC,ORGANIZATION_CODE,REFERENCE,COST_CMPNTCLS_CODE,COST_ANALYSIS_CODE,COST_AMT,TRANS_QTY,AMOUNT,CURRENCY_CODE,PRIMARY_UOM_CODE,SUPPLIER_ORG,TRANS_DATE,PO_NUMBER,RATE,INVOICE_NUM,VENDOR_NAME,VENDOR_SITE_CODE,CUR_ORG,ITEM_TYPE
,,,,08-024,Product 08XXXX,,,,Batch Material Cost,TTD,,MAT,,497460.2121,4953,635891249.31,VND,,,31/01/2025,,,,,,,FG
,,,,08-013,Product 08XXXX,,,,Batch Resource Cost,TTD,,MAT,,163512.6041,894,403167366.58,VND,,,31/01/2025,,,,,,,FG
,,,,01-017,Product 01XXXX,,,,Batch Material Cost,DLD,,MAT,,281245.9508,4132,484218017.05,VND,,,31/01/2025,,,,,,,FG
,,,,01-010,Product 01XXXX,,,,Unit Cost Adjustments,DLD,,MAT,,393977.261,4670,631314174.33,VND,,,31/01/2025,,,,,,,FG
,,,,02-020,Product 02XXXX,,,,Batch Resource Cost,DLD,,MAT,,66082.9521,1056,105320874.76,VND,,,31/01/2025,,,,,,,FG
,,,,02-025,Product 02XXXX,,,,Batch Material Cost,DLD,,MAT,,323641.2054,1363,396158569.12,VND,,,31/01/2025,,,,,,,FG
,,,,03-004,Product 03XXXX,,,,Unit Cost Adjustments,DLD,,MAT,,60187.8944,4939,71340735.8,VND,,,31/01/2025,,,,,,,FG
,,,,03-002,Product 03XXXX,,,,Batch Resource Cost,DLD,,MAT,,309412.7825,2029,725415438.09,VND,,,31/01/2025,,,,,,,FG
,,,,04-007,Product 04XXXX,,,,Batch Material Cost,DLD,,MAT,,183386.7517,1860,360517407.86,VND,,,31/01/2025,,,,,,,FG
,,,,04-003,Product 04XXXX,,,,Value Adjustments,DLD,,MAT,,123309.5677,1074,138982061.45,VND,,,31/01/2025,,,,,,,FG
,,,,05-009,Product 05XXXX,,,,Batch Material Cost,DLD,,MAT,,249188.2671,758,575274215.9,VND,,,31/01/2025,,,,,,,FG
,,,,05-015,Product 05XXXX,,,,Unit Cost Adjustments,DLD,,MAT,,112382.489,1678,224727779.38,VND,,,31/01/2025,,,,,,,FG
,,,,06-023,Product 06XXXX,,,,Batch Material Cost,DLD,,MAT,,355597.2209,1774,675866429.3,VND,,,31/01/2025,,,,,,,FG
,,,,06-026,Product 06XXXX,,,,Batch Resource Cost,DLD,,MAT,,284123.9176,829,704404183.2,VND,,,31/01/2025,,,,,,,FG
,,,,07-006,Product 07PROU,,,,Batch Material Cost,DLD,,MAT,,328184.8128,4946,818967163.22,VND,,,31/01/2025,,,,,,,FG
,,,,07-009,Product 07PROU,,,,Batch Resource Cost,DLD,,MAT,,283270.7904,111,498128772.05,VND,,,31/01/2025,,,,,,,FG
,,,,07-005,Product 07XXXX,,,,Batch Resource Cost,DLD,,MAT,,365421.0905,4824,379824830.38,VND,,,31/01/2025,,,,,,,FG
,,,,07-010,Product 07XXXX,,,,Unit Cost Adjustments,DLD,,MAT,,172638.0503,2272,335042325.46,VND,,,31/01/2025,,,,,,,FG
,,,,08-021,Product 08XXXX,,,,Batch Material Cost,DLD,,MAT,,366544.6771,1124,628076462.46,VND,,,31/01/2025,,,,,,,FG
,,,,08-029,Product 08XXXX,,,,Unit Cost Adjustments,DLD,,MAT,,47901.8312,867,100589263.22,VND,,,31/01/2025,,,,,,,FG
,,,,01-029,Product 01XXXX,,,,Batch Resource Cost,SGD,,MAT,,1015100.6557,1165,942534142.72,VND,,,31/01/2025,,,,,,,FG
,,,,01-021,Product 01XXXX,,,,Batch Material Cost,SGD,,MAT,,215572.1736,4319,296366159.32,VND,,,31/01/2025,,,,,,,FG
,,,,02-020,Product 02XXXX,,,,Batch Material Cost,SGD,,MAT,,315552.1625,1673,322745099.51,VND,,,31/01/2025,,,,,,,FG
,,,,02-006,Product 02XXXX,,,,Batch Resource Cost,SGD,,MAT,,397903.3271,4052,900068658.11,VND,,,31/01/2025,,,,,,,FG
,,,,03-028,Product 03XXXX,,,,Batch Material Cost,SGD,,MAT,,304824.2323,3173,711801821.82,VND,,,31/01/2025,,,,,,,FG
,,,,03-006,Product 03XXXX,,,,Batch Resource Cost,SGD,,MAT,,418666.4876,4663,767901925.17,VND,,,31/01/2025,,,,,,,FG
,,,,04-005,Product 04XXXX,,,,Batch Resource Cost,SGD,,MAT,,99494.3603,685,156100094.34,VND,,,31/01/2025,,,,,,,FG
,,,,04-005,Product 04XXXX,,,,Batch Material Cost,SGD,,MAT,,327263.8535,459,631512168.35,VND,,,31/01/2025,,,,,,,FG
,,,,05-026,Product 05XXXX,,,,Value Adjustments,SGD,,MAT,,153770.4348,1310,206005246.49,VND,,,31/01/2025,,,,,,,FG
,,,,05-017,Product 05XXXX,,,,Batch Material Cost,SGD,,MAT,,275764.2606,2026,331201556.23,VND,,,31/01/2025,,,,,,,FG
,,,,06-020,Product 06XXXX,,,,Batch Resource Cost,SGD,,MAT,,47166.6658,116,72949223.85,VND,,,31/01/2025,,,,,,,FG
,,,,06-021,Product 06XXXX,,,,Batch Material Cost,SGD,,MAT,,358228.4933,715,513921210.09,VND,,,31/01/2025,,,,,,,FG
,,,,07-006,Product 07PROU,,,,Batch Resource Cost,SGD,,MAT,,446636.1454,1573,563557696.94,VND,,,31/01/2025,,,,,,,FG
,,,,07-014,Product 07PROU,,,,Batch Material Cost,SGD,,MAT,,51449.9424,2512,118476227.31,VND,,,31/01/2025,,,,,,,FG
,,,,07-008,Product 07XXXX,,,,Batch Material Cost,SGD,,MAT,,362875.6834,2952,652034201.38,VND,,,31/01/2025,,,,,,,FG
,,,,07-011,Product 07XXXX,,,,Unit Cost Adjustments,SGD,,MAT,,364284.9325,300,783960518.94,VND,,,31/01/2025,,,,,,,FG
,,,,08-017,Product 08XXXX,,,,Batch Material Cost,SGD,,MAT,,572887.8181,3815,683377261.68,VND,,,31/01/2025,,,,,,,FG
,,,,08-002,Product 08XXXX,,,,Batch Resource Cost,SGD,,MAT,,161842.9027,2634,267769708.66,VND,,,31/01/2025,,,,,,,FG
,,,,01-022,Product 01XXXX,,,,Batch Material Cost,CTD,,MAT,,184455.7324,4509,332906726.41,VND,,,31/01/2025,,,,,,,FG
,,,,01-023,Product 01XXXX,,,,Batch Resource Cost,CTD,,MAT,,108514.4102,2058,163404903.95,VND,,,31/01/2025,,,,,,,FG
,,,,02-021,Product 02XXXX,,,,Unit Cost Adjustments,CTD,,MAT,,134184.5284,4194,221927857.96,VND,,,31/01/2025,,,,,,,FG
,,,,02-004,Product 02XXXX,,,,Batch Material Cost,CTD,,MAT,,247269.3507,3495,580626059.31,VND,,,31/01/2025,,,,,,,FG
,,,,03-014,Product 03XXXX,,,,Batch Resource Cost,CTD,,MAT,,265925.5757,4344,215673551.17,VND,,,31/01/2025,,,,,,,FG
,,,,03-001,Product 03XXXX,,,,Unit Cost Adjustments,CTD,,MAT,,380543.1206,207,716488139.49,VND,,,31/01/2025,,,,,,,FG
,,,,04-024,Product 04XXXX,,,,Batch Material Cost,CTD,,MAT,,568945.2009,4153,812735162.76,VND,,,31/01/2025,,,,,,,FG
,,,,04-018,Product 04XXXX,,,,Batch Resource Cost,CTD,,MAT,,42801.3431,948,63791570.0,VND,,,31/01/2025,,,,,,,FG
,,,,05-017,Product 05XXXX,,,,Batch Material Cost,CTD,,MAT,,108723.1281,889,164156316.52,VND,,,31/01/2025,,,,,,,FG
,,,,05-012,Product 05XXXX,,,,Batch Resource Cost,CTD,,MAT,,327962.2644,2817,504328857.72,VND,,,31/01/2025,,,,,,,FG
,,,,06-012,Product 06XXXX,,,,Batch Material Cost,CTD,,MAT,,552692.4938,4884,686902195.52,VND,,,31/01/2025,,,,,,,FG
,,,,06-001,Product 06XXXX,,,,Batch Resource Cost,CTD,,MAT,,203051.0537,1326,297163485.33,VND,,,31/01/2025,,,,,,,FG
,,,,07-029,Product 07PROU,,,,Batch Material Cost,CTD,,MAT,,369530.7865,3837,555268546.21,VND,,,31/01/2025,,,,,,,FG
,,,,07-009,Product 07PROU,,,,Batch Resource Cost,CTD,,MAT,,144492.7504,2792,303148326.08,VND,,,31/01/2025,,,,,,,FG
,,,,07-020,Product 07XXXX,,,,Batch Material Cost,CTD,,MAT,,217146.4183,2981,366910661.43,VND,,,31/01/2025,,,,,,,FG
,,,,07-010,Product 07XXXX,,,,Batch Resource Cost,CTD,,MAT,,321764.5174,1598,450937904.61,VND,,,31/01/2025,,,,,,,FG
,,,,08-024,Product 08XXXX,,,,Batch Material Cost,CTD,,MAT,,380142.8075,4033,383490011.46,VND,,,31/01/2025,,,,,,,FG
,,,,08-022,Product 08XXXX,,,,Unit Cost Adjustments,CTD,,MAT,,292861.903,4151,707743522.05,VND,,,31/01/2025,,,,,,,FG
,,,,01-022,Product 01XXXX,,,,Batch Material Cost,BDD,,MAT,,523013.7428,1307,742558838.45,VND,,,31/01/2025,,,,,,,FG
,,,,01-026,Product 01XXXX,,,,Batch Resource Cost,BDD,,MAT,,380326.3577,3645,463445962.98,VND,,,31/01/2025,,,,,,,FG
,,,,02-009,Product 02XXXX,,,,Batch Material Cost,BDD,,MAT,,305691.1978,2690,642019860.41,VND,,,31/01/2025,,,,,,,FG
,,,,02-022,Product 02XXXX,,,,Batch Resource Cost,BDD,,MAT,,534257.9113,130,800235427.04,VND,,,31/01/2025,,,,,,,FG
,,,,03-025,Product 03XXXX,,,,Batch Resource Cost,BDD,,MAT,,46476.13,2994,104014945.32,VND,,,31/01/2025,,,,,,,FG
,,,,03-013,Product 03XXXX,,,,Batch Material Cost,BDD,,MAT,,388687.1014,2142,701433920.82,VND,,,31/01/2025,,,,,,,FG
,,,,04-007,Product 04XXXX,,,,Unit Cost Adjustments,BDD,,MAT,,539089.1573,301,715588375.03,VND,,,31/01/2025,,,,,,,FG
,,,,04-015,Product 04XXXX,,,,Batch Resource Cost,BDD,,MAT,,689767.0288,287,702237728.22,VND,,,31/01/2025,,,,,,,FG
,,,,05-015,Product 05XXXX,,,,Batch Resource Cost,BDD,,MAT,,386641.1131,4131,413204985.53,VND,,,31/01/2025,,,,,,,FG
,,,,05-002,Product 05XXXX,,,,Unit Cost Adjustments,BDD,,MAT,,235864.2264,215,585059311.23,VND,,,31/01/2025,,,,,,,FG
,,,,06-007,Product 06XXXX,,,,Batch Material Cost,BDD,,MAT,,363994.1462,1518,497191047.72,VND,,,31/01/2025,,,,,,,FG
,,,,06-016,Product 06XXXX,,,,Unit Cost Adjustments,BDD,,MAT,,448920.0267,3729,759449192.48,VND,,,31/01/2025,,,,,,,FG
,,,,07-003,Product 07PROU,,,,Batch Material Cost,BDD,,MAT,,347005.1792,4628,383321611.5,VND,,,31/01/2025,,,,,,,FG
,,,,07-026,Product 07PROU,,,,Batch Resource Cost,BDD,,MAT,,176499.6144,1231,304024253.36,VND,,,31/01/2025,,,,,,,FG
,,,,07-018,Product 07XXXX,,,,Batch Resource Cost,BDD,,MAT,,199197.8915,4474,378651972.04,VND,,,31/01/2025,,,,,,,FG
,,,,07-025,Product 07XXXX,,,,Batch Material Cost,BDD,,MAT,,46955.2816,2676,69104665.71,VND,,,31/01/2025,,,,,,,FG
,,,,08-016,Product 08XXXX,,,,Unit Cost Adjustments,BDD,,MAT,,321516.045,4981,526462092.65,VND,,,31/01/2025,,,,,,,FG
,,,,08-021,Product 08XXXX,,,,Batch Material Cost,BDD,,MAT,,291555.7048,2320,461587574.58,VND,,,31/01/2025,,,,,,,FG
,,,,01-012,Product 01XXXX,,,,Unit Cost Adjustments,NAD,,MAT,,868355.6492,2116,797481969.55,VND,,,31/01/2025,,,,,,,FG
,,,,01-003,Product 01XXXX,,,,Batch Material Cost,NAD,,MAT,,288952.3117,4106,462540251.93,VND,,,31/01/2025,,,,,,,FG
,,,,02-021,Product 02XXXX,,,,Batch Material Cost,NAD,,MAT,,496408.4862,720,547090593.35,VND,,,31/01/2025,,,,,,,FG
,,,,02-013,Product 02XXXX,,,,Value Adjustments,NAD,,MAT,,413393.3738,4633,720368498.34,VND,,,31/01/2025,,,,,,,FG
,,,,03-024,Product 03XXXX,,,,Batch Material Cost,NAD,,MAT,,464634.1955,4998,870258057.92,VND,,,31/01/2025,,,,,,,FG
,,,,03-012,Product 03XXXX,,,,Batch Resource Cost,NAD,,MAT,,90600.6485,1450,174377297.72,VND,,,31/01/2025,,,,,,,FG
,,,,04-028,Product 04XXXX,,,,Batch Material Cost,NAD,,MAT,,262905.8973,897,356623216.82,VND,,,31/01/2025,,,,,,,FG
,,,,04-023,Product 04XXXX,,,,Batch Resource Cost,NAD,,MAT,,153952.863,405,345177752.86,VND,,,31/01/2025,,,,,,,FG
,,,,05-019,Product 05XXXX,,,,Batch Material Cost,NAD,,MAT,,82725.1208,491,199329704.24,VND,,,31/01/2025,,,,,,,FG
,,,,05-002,Product 05XXXX,,,,Batch Resource Cost,NAD,,MAT,,188488.2141,3014,314596529.62,VND,,,31/01/2025,,,,,,,FG
,,,,06-018,Product 06XXXX,,,,Batch Resource Cost,NAD,,MAT,,49653.2508,4985,52842807.69,VND,,,31/01/2025,,,,,,,FG
,,,,06-006,Product 06XXXX,,,,Batch Material Cost,NAD,,MAT,,581965.1091,2449,786729132.28,VND,,,31/01/2025,,,,,,,FG
,,,,07-014,Product 07PROU,,,,Batch Material Cost,NAD,,MAT,,287093.4761,4435,310178468.24,VND,,,31/01/2025,,,,,,,FG
,,,,07-006,Product 07PROU,,,,Batch Resource Cost,NAD,,MAT,,315734.9664,3924,610410628.96,VND,,,31/01/2025,,,,,,,FG
,,,,07-017,Product 07XXXX,,,,Batch Material Cost,NAD,,MAT,,192711.3836,1048,168369537.34,VND,,,31/01/2025,,,,,,,FG
,,,,07-009,Product 07XXXX,,,,Batch Resource Cost,NAD,,MAT,,200953.5014,895,383885922.68,VND,,,31/01/2025,,,,,,,FG
,,,,08-023,Product 08XXXX,,,,Batch Material Cost,NAD,,MAT,,269082.6703,1498,569386712.1,VND,,,31/01/2025,,,,,,,FG
,,,,08-016,Product 08XXXX,,,,Batch Resource Cost,NAD,,MAT,,269022.6923,1613,655815110.6,VND,,,31/01/2025,,,,,,,FG
,,,,01-001,Product 01XXXX,,,,Batch Material Cost,TSD,,MAT,,152970.4317,2076,212401742.54,VND,,,31/01/2025,,,,,,,FG
,,,,01-016,Product 01XXXX,,,,Value Adjustments,TSD,,MAT,,336060.2297,1087,470767332.21,VND,,,31/01/2025,,,,,,,FG
,,,,02-012,Product 02XXXX,,,,Batch Material Cost,TSD,,MAT,,367490.1521,4438,558328132.0,VND,,,31/01/2025,,,,,,,FG
,,,,02-017,Product 02XXXX,,,,Value Adjustments,TSD,,MAT,,270603.6913,1673,442721105.78,VND,,,31/01/2025,,,,,,,FG
,,,,03-020,Product 03XXXX,,,,Batch Material Cost,TSD,,MAT,,548303.362,903,528103144.82,VND,,,31/01/2025,,,,,,,FG
,,,,03-022,Product 03XXXX,,,,Batch Resource Cost,TSD,,MAT,,275793.2672,702,601506101.69,VND,,,31/01/2025,,,,,,,FG
,,,,04-012,Product 04XXXX,,,,Batch Material Cost,TSD,,MAT,,179152.4828,3351,440750665.39,VND,,,31/01/2025,,,,,,,FG
,,,,04-023,Product 04XXXX,,,,Unit Cost Adjustments,TSD,,MAT,,220694.5019,1824,298739458.85,VND,,,31/01/2025,,,,,,,FG
,,,,05-004,Product 05XXXX,,,,Batch Material Cost,TSD,,MAT,,420941.6264,2190,741229731.73,VND,,,31/01/2025,,,,,,,FG
,,,,05-026,Product 05XXXX,,,,Value Adjustments,TSD,,MAT,,91480.2942,2454,190527582.7,VND,,,31/01/2025,,,,,,,FG
,,,,06-022,Product 06XXXX,,,,Batch Material Cost,TSD,,MAT,,303037.069,3887,612502273.02,VND,,,31/01/2025,,,,,,,FG
,,,,06-015,Product 06XXXX,,,,Batch Resource Cost,TSD,,MAT,,194441.8834,4399,485823596.83,VND,,,31/01/2025,,,,,,,FG
,,,,07-001,Product 07PROU,,,,Batch Material Cost,TSD,,MAT,,187597.8461,1294,276078461.71,VND,,,31/01/2025,,,,,,,FG
,,,,07-029,Product 07PROU,,,,Batch Resource Cost,TSD,,MAT,,934960.7886,3554,882102097.11,VND,,,31/01/2025,,,,,,,FG
,,,,07-018,Product 07XXXX,,,,Batch Material Cost,TSD,,MAT,,315198.0995,461,602291739.8,VND,,,31/01/2025,,,,,,,FG
,,,,07-022,Product 07XXXX,,,,Batch Resource Cost,TSD,,MAT,,199707.8148,3323,226133510.5,VND,,,31/01/2025,,,,,,,FG
,,,,08-005,Product 08XXXX,,,,Batch Material Cost,TSD,,MAT,,595218.2576,3492,626681832.09,VND,,,31/01/2025,,,,,,,FG
,,,,08-012,Product 08XXXX,,,,Batch Resource Cost,TSD,,MAT,,234257.6161,2541,554089582.58,VND,,,31/01/2025,,,,,,,FG
,,,,01-003,Product 01XXXX,,,,Batch Material Cost,GKD,,MAT,,131689.7214,1580,310452822.15,VND,,,31/01/2025,,,,,,,FG
,,,,01-001,Product 01XXXX,,,,Unit Cost Adjustments,GKD,,MAT,,608097.7603,1075,726796842.88,VND,,,31/01/2025,,,,,,,FG
,,,,02-029,Product 02XXXX,,,,Batch Resource Cost,GKD,,MAT,,103393.4817,4200,244635767.56,VND,,,31/01/2025,,,,,,,FG
,,,,02-012,Product 02XXXX,,,,Batch Material Cost,GKD,,MAT,,314968.7155,3564,680071397.19,VND,,,31/01/2025,,,,,,,FG
,,,,03-013,Product 03XXXX,,,,Batch Material Cost,GKD,,MAT,,260730.4856,3936,615029783.36,VND,,,31/01/2025,,,,,,,FG
,,,,03-002,Product 03XXXX,,,,Batch Resource Cost,GKD,,MAT,,309356.9641,954,530226025.57,VND,,,31/01/2025,,,,,,,FG
,,,,04-016,Product 04XXXX,,,,Unit Cost Adjustments,GKD,,MAT,,415885.9176,589,703445380.79,VND,,,31/01/2025,,,,,,,FG
,,,,04-006,Product 04XXXX,,,,Batch Resource Cost,GKD,,MAT,,137173.5104,3369,152407280.58,VND,,,31/01/2025,,,,,,,FG
,,,,05-016,Product 05XXXX,,,,Batch Material Cost,GKD,,MAT,,401732.3517,3106,613172216.9,VND,,,31/01/2025,,,,,,,FG
,,,,05-008,Product 05XXXX,,,,Batch Resource Cost,GKD,,MAT,,510287.9847,849,462232125.47,VND,,,31/01/2025,,,,,,,FG
,,,,06-021,Product 06XXXX,,,,Batch Material Cost,GKD,,MAT,,170511.5915,2581,333475182.72,VND,,,31/01/2025,,,,,,,FG
,,,,06-009,Product 06XXXX,,,,Unit Cost Adjustments,GKD,,MAT,,155694.3632,4229,312589700.21,VND,,,31/01/2025,,,,,,,FG
,,,,07-025,Product 07PROU,,,,Value Adjustments,GKD,,MAT,,53657.5489,742,130831138.96,VND,,,31/01/2025,,,,,,,FG
,,,,07-028,Product 07PROU,,,,Batch Material Cost,GKD,,MAT,,209302.4093,401,344794560.26,VND,,,31/01/2025,,,,,,,FG
,,,,07-016,Product 07XXXX,,,,Batch Material Cost,GKD,,MAT,,372544.7415,2043,730912013.01,VND,,,31/01/2025,,,,,,,FG
,,,,07-010,Product 07XXXX,,,,Batch Resource Cost,GKD,,MAT,,550795.7417,355,578428112.91,VND,,,31/01/2025,,,,,,,FG
,,,,08-004,Product 08XXXX,,,,Batch Material Cost,GKD,,MAT,,229664.8363,4511,507050457.81,VND,,,31/01/2025,,,,,,,FG
,,,,08-003,Product 08XXXX,,,,Value Adjustments,GKD,,MAT,,378329.5183,2070,522770037.14,VND,,,31/01/2025,,,,,,,FG
,,,,01-012,Product 01XXXX,,,,Batch Material Cost,DND,,MAT,,242534.4213,748,506158300.22,VND,,,31/01/2025,,,,,,,FG
,,,,01-012,Product 01XXXX,,,,Unit Cost Adjustments,DND,,MAT,,321199.1751,518,546703085.42,VND,,,31/01/2025,,,,,,,FG
,,,,02-008,Product 02XXXX,,,,Batch Resource Cost,DND,,MAT,,424122.2038,2451,426315083.26,VND,,,31/01/2025,,,,,,,FG
,,,,02-004,Product 02XXXX,,,,Batch Material Cost,DND,,MAT,,451009.3413,3005,442627536.6,VND,,,31/01/2025,,,,,,,FG
,,,,03-023,Product 03XXXX,,,,Batch Material Cost,DND,,MAT,,743256.4073,3218,760362213.21,VND,,,31/01/2025,,,,,,,FG
,,,,03-012,Product 03XXXX,,,,Batch Resource Cost,DND,,MAT,,38682.2945,4627,90541889.56,VND,,,31/01/2025,,,,,,,FG
,,,,04-017,Product 04XXXX,,,,Batch Resource Cost,DND,,MAT,,332702.5997,3910,640867510.71,VND,,,31/01/2025,,,,,,,FG
,,,,04-025,Product 04XXXX,,,,Batch Material Cost,DND,,MAT,,140037.9308,3900,277305888.32,VND,,,31/01/2025,,,,,,,FG
,,,,05-007,Product 05XXXX,,,,Value Adjustments,DND,,MAT,,68048.9351,4924,87366044.23,VND,,,31/01/2025,,,,,,,FG
,,,,05-024,Product 05XXXX,,,,Batch Material Cost,DND,,MAT,,181012.1777,4002,277562208.24,VND,,,31/01/2025,,,,,,,FG
,,,,06-023,Product 06XXXX,,,,Batch Material Cost,DND,,MAT,,135415.1832,1482,261855313.47,VND,,,31/01/2025,,,,,,,FG
,,,,06-003,Product 06XXXX,,,,Batch Resource Cost,DND,,MAT,,289518.496,1975,651465581.01,VND,,,31/01/2025,,,,,,,FG
,,,,07-007,Product 07PROU,,,,Batch Resource Cost,DND,,MAT,,157367.4928,4110,376940821.82,VND,,,31/01/2025,,,,,,,FG
,,,,07-005,Product 07PROU,,,,Batch Material Cost,DND,,MAT,,381856.0933,1445,655651084.93,VND,,,31/01/2025,,,,,,,FG
,,,,07-010,Product 07XXXX,,,,Batch Material Cost,DND,,MAT,,360873.739,2178,777372974.39,VND,,,31/01/2025,,,,,,,FG
,,,,07-015,Product 07XXXX,,,,Batch Resource Cost,DND,,MAT,,389287.0969,453,749420402.32,VND,,,31/01/2025,,,,,,,FG
