P_RESP_ID,P_ORGANIZATION_CODE,P_PERIOD,P_CATEGORY_SET_NAME,P_ITEM_TYPE,P_BATCH_STATUS,P_ITEM_FROM,P_ITEM_TO,PERIOD,OPERATING_UNIT,ORGANIZATION_NAME,ITEM_TYPE,CATEGORY,CAT,ITEM,ITEM_DESCRIPTION,UOM,QTY,QTY_KG,ACC_QTY,ACC_QTY_KG,SUM_QTY_PER_CAT,SUM_QTY_KG_PER_CAT,SUM_ACC_QTY_PER_CAT,SUM_ACC_QTY_KG_PER_CAT,SUM_QTY_KG_PER_ORG,SUM_ACC_QTY_KG_PER_ORG,XDO_USER_NAME
,,2023-01-31,,,,,,2023-01-31,FAC-C-Unit-244,Factory C NM,FG,,,08-015,Product 08-015,KG,71473.0,35736.64,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-C-Unit-244,Factory C NM,FG,,,04-002,Product 04-002,KG,56176.0,28088.18,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-C-Unit-244,Factory C NM,FG,,,08-011,Product 08-011,KG,31058.0,15529.0,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-D-Unit-252,Factory D NM,FG,,,08-011,Product 08-011,KG,66552.0,33275.99,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-D-Unit-252,Factory D NM,FG,,,04-014,Product 04-014,KG,17968.0,8983.79,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-D-Unit-252,Factory D NM,FG,,,02-003,Product 02-003,KG,8916.0,4457.87,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-D-Unit-252,Factory D NM,FG,,,05-007,Product 05-007,KG,64957.0,32478.54,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-D-Unit-252,Factory D NM,FG,,,03-008,Product 03-008,KG,4598.0,2299.05,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-E-Unit-246,Factory E NM,FG,,,07-014,Product 07-014,KG,52306.0,26152.98,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-E-Unit-246,Factory E NM,FG,,,05-011,Product 05-011,KG,24856.0,12428.18,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-E-Unit-246,Factory E NM,FG,,,01-004,Product 01-004,KG,58968.0,29483.97,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-E-Unit-246,Factory E NM,FG,,,04-012,Product 04-012,KG,86588.0,43293.79,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-E-Unit-246,Factory E NM,FG,,,04-009,Product 04-009,KG,88275.0,44137.64,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-F-Unit-249,Factory F NM,FG,,,08-011,Product 08-011,KG,57770.0,28884.99,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-F-Unit-249,Factory F NM,FG,,,05-015,Product 05-015,KG,8224.0,4112.08,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-F-Unit-249,Factory F NM,FG,,,07-003,Product 07-003,KG,5609.0,2804.27,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-F-Unit-249,Factory F NM,FG,,,05-008,Product 05-008,KG,15118.0,7558.75,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-F-Unit-249,Factory F NM,FG,,,03-005,Product 03-005,KG,3340.0,1669.93,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-G-Unit-245,Factory G NM,FG,,,03-011,Product 03-011,KG,29134.0,14567.0,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-G-Unit-245,Factory G NM,FG,,,08-002,Product 08-002,KG,81008.0,40503.86,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-G-Unit-245,Factory G NM,FG,,,08-013,Product 08-013,KG,75329.0,37664.72,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-G-Unit-245,Factory G NM,FG,,,04-003,Product 04-003,KG,20083.0,10041.53,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-G-Unit-245,Factory G NM,FG,,,02-012,Product 02-012,KG,22516.0,11258.12,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-H-Unit-241,Factory H NM,FG,,,07-014,Product 07-014,KG,99016.0,49508.05,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-H-Unit-241,Factory H NM,FG,,,06-006,Product 06-006,KG,33591.0,16795.34,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-H-Unit-241,Factory H NM,FG,,,04-009,Product 04-009,KG,81368.0,40683.85,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-H-Unit-241,Factory H NM,FG,,,07-002,Product 07-002,KG,26955.0,13477.39,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-H-Unit-241,Factory H NM,FG,,,08-001,Product 08-001,KG,68787.0,34393.63,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-I-Unit-247,Factory I NM,FG,,,08-002,Product 08-002,KG,19797.0,9898.29,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-I-Unit-247,Factory I NM,FG,,,05-006,Product 05-006,KG,91028.0,45514.08,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-I-Unit-247,Factory I NM,FG,,,04-012,Product 04-012,KG,59172.0,29586.2,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-I-Unit-247,Factory I NM,FG,,,05-005,Product 05-005,KG,41283.0,20641.72,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-I-Unit-247,Factory I NM,FG,,,07-014,Product 07-014,KG,47277.0,23638.28,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-J-Unit-242,Factory J NM,FG,,,05-014,Product 05-014,KG,53605.0,26802.34,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-J-Unit-242,Factory J NM,FG,,,01-010,Product 01-010,KG,80473.0,40236.74,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-J-Unit-242,Factory J NM,FG,,,06-002,Product 06-002,KG,97935.0,48967.64,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-J-Unit-242,Factory J NM,FG,,,06-012,Product 06-012,KG,84299.0,42149.65,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-J-Unit-242,Factory J NM,FG,,,05-015,Product 05-015,KG,86965.0,43482.69,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-K-Unit-243,Factory K NM,FG,,,01-003,Product 01-003,KG,20068.0,10034.18,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-K-Unit-243,Factory K NM,FG,,,06-006,Product 06-006,KG,10853.0,5426.51,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-K-Unit-243,Factory K NM,FG,,,06-001,Product 06-001,KG,77557.0,38778.31,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-K-Unit-243,Factory K NM,FG,,,04-005,Product 04-005,KG,8688.0,4344.24,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-K-Unit-243,Factory K NM,FG,,,08-002,Product 08-002,KG,84034.0,42016.87,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-L-Unit-248,Factory L NM,FG,,,03-004,Product 03-004,KG,39628.0,19814.23,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-L-Unit-248,Factory L NM,FG,,,07-015,Product 07-015,KG,93394.0,46696.91,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-L-Unit-248,Factory L NM,FG,,,08-010,Product 08-010,KG,8863.0,4431.46,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-L-Unit-248,Factory L NM,FG,,,07-006,Product 07-006,KG,2930.0,1464.79,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-L-Unit-248,Factory L NM,FG,,,06-003,Product 06-003,KG,7163.0,3581.51,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-M-Unit-250,Factory M NM,FG,,,02-012,Product 02-012,KG,9461.0,4730.41,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-M-Unit-250,Factory M NM,FG,,,02-004,Product 02-004,KG,85418.0,42709.14,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-M-Unit-250,Factory M NM,FG,,,01-001,Product 01-001,KG,50524.0,25262.18,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-M-Unit-250,Factory M NM,FG,,,03-003,Product 03-003,KG,49097.0,24548.74,,,,,,,,,
,,2023-01-31,,,,,,2023-01-31,FAC-M-Unit-250,Factory M NM,FG,,,06-013,Product 06-013,KG,60056.0,30027.98,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-A-Unit-240,Factory A NM,FG,,,08-013,Product 08-013,KG,5068.0,2533.81,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-A-Unit-240,Factory A NM,FG,,,07-014,Product 07-014,KG,73664.0,36832.23,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-A-Unit-240,Factory A NM,FG,,,05-012,Product 05-012,KG,91133.0,45566.7,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-A-Unit-240,Factory A NM,FG,,,04-010,Product 04-010,KG,86021.0,43010.64,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-A-Unit-240,Factory A NM,FG,,,01-008,Product 01-008,KG,96523.0,48261.5,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-B-Unit-251,Factory B NM,FG,,,01-005,Product 01-005,KG,80569.0,40284.68,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-B-Unit-251,Factory B NM,FG,,,03-013,Product 03-013,KG,35266.0,17633.06,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-B-Unit-251,Factory B NM,FG,,,01-004,Product 01-004,KG,81853.0,40926.43,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-B-Unit-251,Factory B NM,FG,,,05-002,Product 05-002,KG,9851.0,4925.63,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-B-Unit-251,Factory B NM,FG,,,08-015,Product 08-015,KG,89692.0,44846.02,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-C-Unit-244,Factory C NM,FG,,,06-002,Product 06-002,KG,46471.0,23235.69,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-C-Unit-244,Factory C NM,FG,,,01-010,Product 01-010,KG,25133.0,12566.47,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-C-Unit-244,Factory C NM,FG,,,02-002,Product 02-002,KG,9203.0,4601.34,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-C-Unit-244,Factory C NM,FG,,,05-009,Product 05-009,KG,18636.0,9318.14,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-C-Unit-244,Factory C NM,FG,,,05-008,Product 05-008,KG,52938.0,26468.92,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-D-Unit-252,Factory D NM,FG,,,06-008,Product 06-008,KG,90335.0,45167.41,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-D-Unit-252,Factory D NM,FG,,,08-013,Product 08-013,KG,88033.0,44016.67,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-D-Unit-252,Factory D NM,FG,,,01-003,Product 01-003,KG,33085.0,16542.59,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-D-Unit-252,Factory D NM,FG,,,01-011,Product 01-011,KG,87152.0,43576.13,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-D-Unit-252,Factory D NM,FG,,,05-011,Product 05-011,KG,38816.0,19407.94,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-E-Unit-246,Factory E NM,FG,,,08-002,Product 08-002,KG,19128.0,9563.9,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-E-Unit-246,Factory E NM,FG,,,08-003,Product 08-003,KG,37356.0,18677.85,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-E-Unit-246,Factory E NM,FG,,,07-002,Product 07-002,KG,90777.0,45388.66,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-E-Unit-246,Factory E NM,FG,,,03-015,Product 03-015,KG,77455.0,38727.29,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-E-Unit-246,Factory E NM,FG,,,03-010,Product 03-010,KG,56550.0,28275.22,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-F-Unit-249,Factory F NM,FG,,,02-014,Product 02-014,KG,67813.0,33906.36,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-F-Unit-249,Factory F NM,FG,,,04-011,Product 04-011,KG,11107.0,5553.53,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-F-Unit-249,Factory F NM,FG,,,06-005,Product 06-005,KG,27191.0,13595.32,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-F-Unit-249,Factory F NM,FG,,,06-009,Product 06-009,KG,79214.0,39607.2,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-F-Unit-249,Factory F NM,FG,,,01-014,Product 01-014,KG,86739.0,43369.62,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-G-Unit-245,Factory G NM,FG,,,02-012,Product 02-012,KG,11902.0,5951.24,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-G-Unit-245,Factory G NM,FG,,,02-014,Product 02-014,KG,69832.0,34915.91,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-G-Unit-245,Factory G NM,FG,,,04-008,Product 04-008,KG,8105.0,4052.3,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-G-Unit-245,Factory G NM,FG,,,06-008,Product 06-008,KG,51923.0,25961.68,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-G-Unit-245,Factory G NM,FG,,,03-007,Product 03-007,KG,99676.0,49838.15,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-H-Unit-241,Factory H NM,FG,,,04-002,Product 04-002,KG,52436.0,26218.22,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-H-Unit-241,Factory H NM,FG,,,06-013,Product 06-013,KG,90092.0,45046.14,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-H-Unit-241,Factory H NM,FG,,,02-001,Product 02-001,KG,78684.0,39341.76,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-H-Unit-241,Factory H NM,FG,,,07-014,Product 07-014,KG,24329.0,12164.28,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-H-Unit-241,Factory H NM,FG,,,04-009,Product 04-009,KG,97647.0,48823.55,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-I-Unit-247,Factory I NM,FG,,,03-005,Product 03-005,KG,68481.0,34240.56,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-I-Unit-247,Factory I NM,FG,,,05-014,Product 05-014,KG,76114.0,38056.97,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-I-Unit-247,Factory I NM,FG,,,03-012,Product 03-012,KG,84513.0,42256.55,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-I-Unit-247,Factory I NM,FG,,,07-002,Product 07-002,KG,48091.0,24045.63,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-I-Unit-247,Factory I NM,FG,,,04-013,Product 04-013,KG,51201.0,25600.46,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-J-Unit-242,Factory J NM,FG,,,01-012,Product 01-012,KG,77020.0,38510.13,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-J-Unit-242,Factory J NM,FG,,,01-008,Product 01-008,KG,17573.0,8786.5,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-J-Unit-242,Factory J NM,FG,,,03-010,Product 03-010,KG,61802.0,30901.03,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-J-Unit-242,Factory J NM,FG,,,05-015,Product 05-015,KG,15265.0,7632.35,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-J-Unit-242,Factory J NM,FG,,,05-013,Product 05-013,KG,75635.0,37817.38,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-K-Unit-243,Factory K NM,FG,,,05-012,Product 05-012,KG,87317.0,43658.34,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-K-Unit-243,Factory K NM,FG,,,01-013,Product 01-013,KG,25402.0,12701.01,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-K-Unit-243,Factory K NM,FG,,,07-010,Product 07-010,KG,46221.0,23110.73,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-K-Unit-243,Factory K NM,FG,,,06-004,Product 06-004,KG,98529.0,49264.49,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-K-Unit-243,Factory K NM,FG,,,05-006,Product 05-006,KG,77657.0,38828.61,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-L-Unit-248,Factory L NM,FG,,,07-004,Product 07-004,KG,97952.0,48976.14,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-L-Unit-248,Factory L NM,FG,,,07-003,Product 07-003,KG,64146.0,32072.96,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-L-Unit-248,Factory L NM,FG,,,04-014,Product 04-014,KG,14374.0,7186.97,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-L-Unit-248,Factory L NM,FG,,,06-009,Product 06-009,KG,68265.0,34132.7,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-L-Unit-248,Factory L NM,FG,,,08-005,Product 08-005,KG,33860.0,16930.1,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-M-Unit-250,Factory M NM,FG,,,01-010,Product 01-010,KG,15477.0,7738.66,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-M-Unit-250,Factory M NM,FG,,,01-007,Product 01-007,KG,35400.0,17699.97,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-M-Unit-250,Factory M NM,FG,,,06-013,Product 06-013,KG,18153.0,9076.41,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-M-Unit-250,Factory M NM,FG,,,03-007,Product 03-007,KG,18717.0,9358.51,,,,,,,,,
,,2023-02-28,,,,,,2023-02-28,FAC-M-Unit-250,Factory M NM,FG,,,02-012,Product 02-012,KG,94915.0,47457.31,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-A-Unit-240,Factory A NM,FG,,,06-006,Product 06-006,KG,65317.0,32658.71,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-A-Unit-240,Factory A NM,FG,,,06-004,Product 06-004,KG,65352.0,32676.05,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-A-Unit-240,Factory A NM,FG,,,01-007,Product 01-007,KG,89028.0,44513.91,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-A-Unit-240,Factory A NM,FG,,,06-014,Product 06-014,KG,60672.0,30335.93,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-A-Unit-240,Factory A NM,FG,,,08-002,Product 08-002,KG,51211.0,25605.53,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-B-Unit-251,Factory B NM,FG,,,01-009,Product 01-009,KG,10644.0,5321.88,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-B-Unit-251,Factory B NM,FG,,,05-004,Product 05-004,KG,61474.0,30736.99,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-B-Unit-251,Factory B NM,FG,,,06-008,Product 06-008,KG,16855.0,8427.63,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-B-Unit-251,Factory B NM,FG,,,07-014,Product 07-014,KG,5032.0,2515.94,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-B-Unit-251,Factory B NM,FG,,,07-001,Product 07-001,KG,97133.0,48566.37,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-C-Unit-244,Factory C NM,FG,,,04-015,Product 04-015,KG,99476.0,49737.78,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-C-Unit-244,Factory C NM,FG,,,06-009,Product 06-009,KG,10802.0,5400.8,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-C-Unit-244,Factory C NM,FG,,,04-005,Product 04-005,KG,2227.0,1113.56,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-C-Unit-244,Factory C NM,FG,,,07-004,Product 07-004,KG,6328.0,3163.93,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-C-Unit-244,Factory C NM,FG,,,05-011,Product 05-011,KG,35495.0,17747.34,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-D-Unit-252,Factory D NM,FG,,,03-008,Product 03-008,KG,28499.0,14249.27,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-D-Unit-252,Factory D NM,FG,,,06-005,Product 06-005,KG,84586.0,42292.88,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-D-Unit-252,Factory D NM,FG,,,05-009,Product 05-009,KG,32708.0,16354.05,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-D-Unit-252,Factory D NM,FG,,,08-005,Product 08-005,KG,79315.0,39657.69,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-D-Unit-252,Factory D NM,FG,,,07-004,Product 07-004,KG,89403.0,44701.74,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-E-Unit-246,Factory E NM,FG,,,05-005,Product 05-005,KG,44680.0,22339.87,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-E-Unit-246,Factory E NM,FG,,,04-012,Product 04-012,KG,34546.0,17272.87,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-E-Unit-246,Factory E NM,FG,,,02-004,Product 02-004,KG,35497.0,17748.38,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-E-Unit-246,Factory E NM,FG,,,08-002,Product 08-002,KG,74425.0,37212.3,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-E-Unit-246,Factory E NM,FG,,,03-009,Product 03-009,KG,23880.0,11939.91,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-F-Unit-249,Factory F NM,FG,,,02-004,Product 02-004,KG,44826.0,22412.8,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-F-Unit-249,Factory F NM,FG,,,03-009,Product 03-009,KG,60169.0,30084.49,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-F-Unit-249,Factory F NM,FG,,,08-008,Product 08-008,KG,9162.0,4581.0,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-F-Unit-249,Factory F NM,FG,,,03-007,Product 03-007,KG,62990.0,31494.82,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-F-Unit-249,Factory F NM,FG,,,02-008,Product 02-008,KG,98155.0,49077.71,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-G-Unit-245,Factory G NM,FG,,,04-006,Product 04-006,KG,8763.0,4381.37,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-G-Unit-245,Factory G NM,FG,,,07-002,Product 07-002,KG,94197.0,47098.44,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-G-Unit-245,Factory G NM,FG,,,05-002,Product 05-002,KG,51678.0,25839.1,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-G-Unit-245,Factory G NM,FG,,,04-002,Product 04-002,KG,42122.0,21061.19,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-G-Unit-245,Factory G NM,FG,,,03-001,Product 03-001,KG,81466.0,40733.05,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-H-Unit-241,Factory H NM,FG,,,01-005,Product 01-005,KG,78653.0,39326.39,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-H-Unit-241,Factory H NM,FG,,,03-013,Product 03-013,KG,14190.0,7094.76,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-H-Unit-241,Factory H NM,FG,,,04-003,Product 04-003,KG,80160.0,40079.82,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-H-Unit-241,Factory H NM,FG,,,06-013,Product 06-013,KG,62359.0,31179.68,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-H-Unit-241,Factory H NM,FG,,,02-003,Product 02-003,KG,84641.0,42320.63,,,,,,,,,
,,2023-03-31,,,,,,2023-03-31,FAC-I-Unit-247,Factory I NM,FG,,,01-001,Product 01-001,KG,31134.0,15567.25,,,,,,,,,
